Test_Scenario,Baseline_SINR,DRL_SINR_Avg_Eval,Baseline_Detected_Binary,DRL_Detected_In_Episode_Binary
1,10.211529,20.549316,1,1
2,11.664737,-11.264529,1,1
3,11.657567,11.618424,1,1
4,12.319732,19.864609,1,1
5,13.512783,18.387197,1,1
6,9.988853,-12.453526,1,1
7,6.900938,-9.529562,1,1
8,9.219551,19.985884,1,1
9,10.074472,24.611124,1,1
10,9.56149,21.133045,1,1
11,14.970146,20.563374,1,1
12,11.40994,-7.053471,1,1
13,12.852614,11.333333,1,1
14,8.076025,-7.6688685,1,1
15,8.554808,15.2087,1,1
16,7.7863092,11.7233715,1,1
17,11.489185,19.879519,1,1
18,11.754651,4.1039987,1,1
19,11.163597,15.323934,1,1
20,7.6491785,23.601583,1,1
21,11.766504,13.858424,1,1
22,11.861638,-2.9410973,1,1
23,10.302174,4.505527,1,1
24,9.695538,12.056738,1,1
25,10.992589,7.449917,1,1
26,10.082307,14.865651,1,1
27,8.860159,4.013069,1,1
28,10.469697,11.161724,1,1
29,15.049373,-18.69097,1,1
30,9.957193,15.699006,1,1
31,13.346689,5.5878315,1,1
32,13.335506,22.0,1,1
33,10.624177,-18.372395,1,1
34,13.594277,-26.0,1,1
35,10.716133,3.5361176,1,1
36,9.301421,11.879807,1,1
37,7.194576,20.898302,1,1
38,13.991818,22.354376,1,1
39,10.444943,-21.480518,1,0
40,13.8590555,-5.2967834,1,1
41,8.486291,-14.581596,1,0
42,8.631192,-26.0,1,1
43,11.691253,-26.0,1,1
44,10.099661,9.469464,1,1
45,11.914936,-24.468897,1,1
46,11.226288,23.382097,1,1
47,10.645564,14.510387,1,1
48,10.785556,18.852383,1,1
49,11.581154,19.900618,1,1
50,8.429022,16.0,1,1
