Episode,Total_Reward,Avg_SINR,Avg_Detection_Rate_Episode,Steps,Epsilon
1,-80.75920826792868,-26.0,100.0,1,1.0
2,-34.07183396079838,1.5605202,50.0,2,1.0
3,-83.84752223876794,-9.303793,100.0,2,1.0
4,-14.349818994792933,9.900061,60.0,5,1.0
5,1.8998863973277196,-0.16133595,100.0,2,1.0
6,-48.66499785500467,15.084923,0.0,3,1.0
7,-79.95410983782796,3.313694,66.66666666666666,3,1.0
8,253.98579074305883,11.43064,91.66666666666666,12,1.0
9,-34.99363948878301,2.0,50.0,2,1.0
10,-20.236230587998516,-5.5142326,100.0,2,1.0
11,-61.26372590215277,-12.93248,100.0,1,1.0
12,-81.96793642472718,-26.0,100.0,1,1.0
13,-62.63756772816684,11.155566,80.0,5,1.0
14,-10.870088254023216,9.206636,80.0,5,1.0
15,-31.655737941379037,2.0,100.0,2,1.0
16,-24.81097658781224,13.500812,83.33333333333334,12,1.0
17,318.71503236319165,20.93833,75.0,12,0.9991450000000004
18,74.50286193283473,14.369121,80.0,5,0.9986700000000006
19,215.5763696199971,13.440695,100.0,8,0.997910000000001
20,-70.60333867573614,-17.983559,100.0,1,0.997815000000001
21,254.53295717351168,19.33689,80.0,10,0.9968650000000014
22,-64.60749819384154,0.4917717,50.0,2,0.9966750000000015
23,-64.49327397574338,14.648349,20.0,5,0.9962000000000018
24,12.286302731205026,2.782508,100.0,2,0.9960100000000018
25,-43.829528477622475,-26.0,100.0,1,0.9959150000000019
26,54.45730509444411,20.103138,57.14285714285714,7,0.9952500000000022
27,27.237928045723237,11.6121,80.0,5,0.9947750000000024
28,28.62701054491359,10.261372,62.5,8,0.9940150000000028
29,-57.04383599035405,-12.405632,0.0,1,0.9939200000000028
30,137.3719120819598,7.8058977,100.0,10,0.9929700000000032
31,3.524254845618067,10.902969,33.33333333333333,3,0.9926850000000034
32,-91.21146894211762,10.269184,16.666666666666664,6,0.9921150000000036
33,-36.387945329361074,15.903353,38.46153846153847,13,0.9908800000000042
34,-21.71703688861635,2.0,100.0,2,0.9906900000000043
35,-44.78087786707414,-26.0,100.0,1,0.9905950000000043
36,123.96769344471386,11.607255,100.0,6,0.9900250000000046
37,54.77527442029004,15.71994,50.0,14,0.9886950000000052
38,-13.607735812182895,11.873508,66.66666666666666,3,0.9884100000000053
39,67.43449849030186,7.9521546,100.0,5,0.9879350000000056
40,-128.96238753359862,16.650602,9.090909090909092,11,0.986890000000006
41,-49.4485338066263,6.747653,40.0,5,0.9864150000000063
42,107.65158215212307,16.606611,100.0,4,0.9860350000000064
43,-111.27726680407199,-13.828481,0.0,2,0.9858450000000065
44,130.1636441081556,9.886762,100.0,6,0.9852750000000068
45,-26.527861734299073,-13.791551,100.0,1,0.9851800000000068
46,-2.3063299254339853,-3.2274559,100.0,3,0.984895000000007
47,31.414905112939934,3.6251495,100.0,3,0.9846100000000071
48,77.26803013815946,10.728566,83.33333333333334,6,0.9840400000000074
49,-0.34416567897581274,2.8073273,80.0,5,0.9835650000000076
50,99.40015507894829,14.065028,80.0,5,0.9830900000000078
51,95.78465886335078,15.228651,100.0,5,0.982615000000008
52,-35.40145240952573,-18.34679,100.0,1,0.982520000000008
53,-67.99299711897241,10.083414,25.0,4,0.9821400000000082
54,-5.925428228542465,0.11947918,100.0,2,0.9819500000000083
55,70.80368153071022,9.3994665,100.0,4,0.9815700000000085
56,72.40244534106397,8.4123,100.0,4,0.9811900000000087
57,56.57990539005954,10.167611,83.33333333333334,6,0.9806200000000089
58,151.292034576993,17.2862,41.66666666666667,12,0.9794800000000095
59,-75.89701139958092,-25.17557,0.0,1,0.9793850000000095
60,-62.04024696350098,-21.360165,0.0,1,0.9792900000000095
61,0.5341844429944445,18.086643,27.27272727272727,11,0.97824500000001
62,32.93860624144459,8.596262,55.55555555555556,9,0.9773900000000104
63,-44.97283003295742,-4.3331833,100.0,2,0.9772000000000105
64,-68.7391162062239,11.16061,0.0,3,0.9769150000000106
65,0.17091147423762365,0.4776764,100.0,2,0.9767250000000107
66,50.06307444704363,6.4654274,100.0,4,0.9763450000000109
67,226.1122390773486,9.237058,100.0,12,0.9752050000000114
68,-33.93101618479027,8.554979,40.0,5,0.9747300000000116
69,-76.40606625350671,-24.965462,100.0,1,0.9746350000000117
70,117.23977851648834,12.157325,85.71428571428571,7,0.973970000000012
71,-101.18838093836266,9.80035,0.0,5,0.9734950000000122
72,-56.337719979185806,3.925375,50.0,2,0.9733050000000123
