Episode,Total_Reward,Avg_SINR,Avg_Detection_Rate_Episode,Steps,Epsilon
73,25.093711138655635,12.014227,43.75,16,0.971785000000013
74,-37.89351679917162,-24.960196,100.0,1,0.971690000000013
75,-21.756147429370237,5.659685,50.0,2,0.9715000000000131
76,279.1224252475805,12.198626,100.0,13,0.9702650000000137
77,-59.614646125031555,6.774776,57.14285714285714,7,0.969600000000014
78,-49.03753767078345,7.9819756,50.0,2,0.9694100000000141
79,79.73488167850859,11.1271305,100.0,4,0.9690300000000143
80,-12.387213571852772,-4.618125,100.0,2,0.9688400000000144
81,14.036434534158346,11.532714,100.0,3,0.9685550000000145
82,539.8586070662591,15.8109,90.47619047619048,21,0.9665600000000154
83,213.51603032760295,17.911282,100.0,7,0.9658950000000157
84,-1.9739600138598874,-0.8041992,100.0,2,0.9657050000000158
85,-81.19364190198286,-26.0,100.0,1,0.9656100000000158
86,-33.77713385450385,-1.3305372,100.0,3,0.965325000000016
87,-76.52394753071576,-25.03532,100.0,1,0.965230000000016
88,0.6217441070323133,7.035313,85.71428571428571,7,0.9645650000000163
89,-32.868714873852724,12.76168,66.66666666666666,6,0.9639950000000166
90,-68.04604734285128,12.564756,0.0,5,0.9635200000000168
91,0.40314138170699465,-2.2094803,100.0,2,0.9633300000000169
92,12.592490639649611,10.26436,100.0,3,0.963045000000017
93,-181.94547725772168,10.044403,44.44444444444444,18,0.9613350000000178
94,260.33153471061735,15.070153,80.0,15,0.9599100000000185
95,-20.178551844847732,6.992795,25.0,4,0.9595300000000186
96,98.96394465683773,12.379536,83.33333333333334,6,0.9589600000000189
97,-30.320178031921387,8.226607,0.0,2,0.958770000000019
98,352.66549833029694,15.713899,100.0,12,0.9576300000000195
99,236.95465422683606,15.588416,76.92307692307693,13,0.9563950000000201
100,-20.02119122783685,1.157887,100.0,4,0.9560150000000203
101,58.83285725628108,11.626272,80.0,5,0.9555400000000205
102,-0.6092215660457789,-2.6787245,100.0,3,0.9552550000000206
103,58.41722653364769,10.416017,100.0,6,0.9546850000000209
104,112.68884283068311,19.030632,63.63636363636363,11,0.9536400000000214
105,-135.71095061302185,-13.4913225,33.33333333333333,3,0.9533550000000215
106,-52.230273483369956,-11.679193,100.0,1,0.9532600000000215
107,-10.296251249762795,-4.3928246,100.0,2,0.9530700000000216
108,-53.975637703607035,6.4602294,0.0,2,0.9528800000000217
109,4.621215349145089,-3.173425,100.0,3,0.9525950000000218
110,374.0465375245796,17.394012,100.0,12,0.9514550000000224
111,23.093449402812013,8.329049,90.9090909090909,11,0.9504100000000228
112,5.349235812436298,2.0,100.0,2,0.9502200000000229
113,-30.42588614015389,-15.846959,100.0,1,0.950125000000023
114,19.608809010166873,6.9584455,100.0,2,0.9499350000000231
115,-41.02309171193041,-26.0,100.0,1,0.9498400000000231
116,-37.383144973614776,-22.925995,100.0,1,0.9497450000000232
117,-80.12483848797731,-26.0,100.0,1,0.9496500000000232
118,-73.33615566647435,-26.0,100.0,1,0.9495550000000232
119,-41.202490832944406,-26.0,100.0,1,0.9494600000000233
120,71.99329591673173,12.649134,80.0,5,0.9489850000000235
121,-89.09238162765386,4.05217,0.0,3,0.9487000000000236
122,66.85732442207546,7.566477,100.0,4,0.9483200000000238
123,-19.578422046242967,-10.711493,100.0,1,0.9482250000000239
124,-47.895132064819336,-11.930088,100.0,1,0.9481300000000239
125,-25.30434223808308,0.46865973,100.0,3,0.947845000000024
126,123.1641748632438,18.99192,50.0,10,0.9468950000000245
127,-72.37229982558014,-26.0,100.0,1,0.9468000000000245
128,142.9377599467921,9.257529,100.0,7,0.9461350000000248
129,-87.03505366483864,-8.106961,100.0,2,0.9459450000000249
130,6.167937343554577,5.9665976,85.71428571428571,7,0.9452800000000252
131,-39.67880967307504,-26.0,100.0,1,0.9451850000000253
132,508.09710256502945,22.586578,92.85714285714286,14,0.9438550000000259
133,53.891569940963535,4.2787232,100.0,6,0.9432850000000261
134,-45.79779034508583,9.28322,66.66666666666666,3,0.9430000000000263
135,-27.004225561725985,-16.120426,100.0,1,0.9429050000000263
136,147.5810425259593,7.6895027,100.0,8,0.9421450000000267
137,-21.69452983564249,17.98497,25.0,4,0.9417650000000268
138,117.06939062316798,11.7941885,100.0,6,0.9411950000000271
139,-8.927533603243312,5.7177925,75.0,4,0.9408150000000273
140,-85.72767897444182,-16.549307,100.0,2,0.9406250000000274
141,39.02813430402597,9.478205,85.71428571428571,14,0.939295000000028
142,-135.45916981770375,7.987769,44.44444444444444,9,0.9384400000000284
143,-12.263120160860574,9.401101,100.0,3,0.9381550000000285
144,13.710503064408357,6.3733253,100.0,4,0.9377750000000287
145,975.879189839789,17.920528,96.875,32,0.9347350000000301
146,262.58250969718426,20.139715,88.88888888888889,9,0.9338800000000305
147,-66.12976148724556,6.398193,25.0,4,0.9335000000000306
148,-84.3653579164774,-7.6738644,0.0,2,0.9333100000000307
149,9.404624445281254,2.881895,100.0,2,0.9331200000000308
150,64.18615338371787,13.368703,75.0,4,0.932740000000031
151,221.36227497105926,9.775947,100.0,11,0.9316950000000315
152,5.103297424316409,17.50549,22.22222222222222,9,0.9308400000000319
153,-84.48467929197201,-6.480427,100.0,2,0.930650000000032
154,-75.5309474819567,-2.0519915,50.0,2,0.930460000000032
155,-6.943388495129817,2.2565258,66.66666666666666,3,0.9301750000000322
156,97.21859828145386,13.674556,83.33333333333334,6,0.9296050000000324
157,523.5214712209242,22.139078,93.33333333333333,15,0.9281800000000331
158,52.736342678979284,6.949628,100.0,4,0.9278000000000333
159,-115.51853853347234,14.028223,53.84615384615385,13,0.9265650000000338
160,167.16370826045076,15.32883,100.0,6,0.9259950000000341
161,2.203068512549933,2.0,100.0,2,0.9258050000000342
162,-44.96469898532598,-26.0,100.0,1,0.9257100000000342
163,42.50397522569844,11.356297,100.0,4,0.9253300000000344
164,7.009866387887392,0.34316254,100.0,2,0.9251400000000345
165,-36.98642158508301,13.502263,33.33333333333333,6,0.9245700000000348
166,-26.13943337929603,-14.523592,100.0,1,0.9244750000000348
167,17.86198474067529,11.253461,100.0,3,0.9241900000000349
168,-32.64421216193354,-20.212515,100.0,1,0.924095000000035
169,35.08052983892479,9.430274,57.14285714285714,14,0.9227650000000356
170,300.03881818983285,15.119297,100.0,11,0.9217200000000361
171,-28.51160319063793,-17.066298,100.0,1,0.9216250000000361
172,9.201590061187744,18.923706,50.0,4,0.9212450000000363
173,222.86175570463874,22.208712,85.71428571428571,7,0.9205800000000366
174,74.56875368866955,18.884705,83.33333333333334,6,0.9200100000000369
175,490.00825214548615,22.399899,92.85714285714286,14,0.9186800000000375
176,-60.34836387634277,-20.232243,0.0,1,0.9185850000000375
177,-36.003866992457645,-22.114357,100.0,1,0.9184900000000376
178,101.09475442781735,17.695677,44.44444444444444,9,0.917635000000038
179,-11.232370432375681,-5.106601,100.0,3,0.9173500000000381
180,4.913601821935291,3.587572,100.0,3,0.9170650000000382
181,-6.649071473057063,-5.2543907,100.0,2,0.9168750000000383
182,-73.28094596128841,-26.0,100.0,1,0.9167800000000383
183,-95.6441936769352,6.004378,47.368421052631575,19,0.9149750000000392
184,133.7301518280644,14.792879,62.5,8,0.9142150000000395
185,42.94628666286201,3.8527927,100.0,4,0.9138350000000397
186,-53.69906831278566,2.6633759,66.66666666666666,3,0.9135500000000398
187,152.69314025937385,14.235293,100.0,6,0.9129800000000401
188,-77.012427899795,-26.0,0.0,1,0.9128850000000401
189,197.62337366134147,13.031633,100.0,10,0.9119350000000406
190,283.8393352102272,13.678279,92.3076923076923,13,0.9107000000000411
191,21.771553333009678,12.5368395,66.66666666666666,3,0.9104150000000413
192,161.15875440490223,14.704296,100.0,8,0.9096550000000416
193,468.02764867062564,15.8243265,100.0,19,0.9078500000000425
194,-39.938572057480854,-26.0,100.0,1,0.9077550000000425
195,-41.04339367575811,-25.969555,100.0,1,0.9076600000000425
196,-92.42839799225388,-10.215244,50.0,2,0.9074700000000426
197,-46.04442024230957,2.9851933,0.0,2,0.9072800000000427
198,167.17954500959863,20.08568,80.0,15,0.9058550000000434
199,60.90621661042758,14.14366,100.0,4,0.9054750000000436
200,-51.8756210800737,-9.555408,100.0,2,0.9052850000000436
201,75.33533566568823,12.038967,80.0,5,0.9048100000000439
202,57.04102886832957,11.561269,100.0,3,0.904525000000044
203,43.03355110418602,15.461238,100.0,3,0.9042400000000441
204,122.54703188826677,14.895312,100.0,5,0.9037650000000443
205,-14.213505289525834,11.615668,66.66666666666666,3,0.9034800000000445
206,-34.45887792979282,-17.852367,100.0,1,0.9033850000000445
207,80.12825986469642,13.539251,100.0,5,0.9029100000000447
208,0.05360932378984273,1.0020173,100.0,5,0.902435000000045
209,-4.294466863350468,3.0244381,66.66666666666666,3,0.9021500000000451
210,27.932123090109457,10.200523,100.0,5,0.9016750000000453
211,75.57451040942972,5.2078977,85.71428571428571,7,0.9010100000000456
212,81.81975235134148,14.465244,66.66666666666666,12,0.8998700000000461
213,-66.34552397780307,0.039986134,0.0,2,0.8996800000000462
214,235.97280664098855,17.802492,83.33333333333334,12,0.8985400000000467
215,-5.002797223461975,-3.923612,100.0,2,0.8983500000000468
216,317.0692525643372,9.493999,94.11764705882352,17,0.8967350000000476
217,85.53007670115983,17.542784,45.45454545454545,11,0.8956900000000481
218,123.05607791409238,18.162867,80.0,5,0.8952150000000483
219,-77.82812720445582,-26.0,100.0,1,0.8951200000000483
220,-59.37364952567765,-11.243769,100.0,1,0.8950250000000484
221,176.46412205110238,19.718693,62.5,8,0.8942650000000487
222,310.29399302182156,18.614574,100.0,10,0.8933150000000492
223,281.101403318221,21.291157,72.22222222222221,18,0.8916050000000499
224,-67.63208546394554,4.813943,50.0,4,0.8912250000000501
225,-84.4599274663588,0.5578448,33.33333333333333,3,0.8909400000000502
226,103.42229634156229,5.911417,100.0,9,0.8900850000000506
227,269.12082202407083,17.009432,100.0,9,0.889230000000051
228,331.00719426747173,19.143894,92.3076923076923,13,0.8879950000000516
229,-12.786551194957447,8.104761,50.0,2,0.8878050000000517
230,536.4171615372874,16.935772,100.0,19,0.8860000000000525
231,82.67060200744305,2.8165185,100.0,7,0.8853350000000528
232,38.11077431762102,8.112263,70.58823529411765,17,0.8837200000000536
233,-58.98520656128325,-0.012001674,66.66666666666666,3,0.8834350000000537
234,326.4671871513134,23.766901,100.0,9,0.8825800000000541
235,-77.81624785705546,-4.388729,50.0,2,0.8823900000000542
236,-27.29755009960565,11.189776,66.66666666666666,6,0.8818200000000544
237,99.75780615121974,9.183887,100.0,6,0.8812500000000547
238,23.359778050478937,13.671751,42.857142857142854,7,0.880585000000055
239,-19.958385425361154,-2.5888512,66.66666666666666,3,0.8803000000000551
240,-77.05800523960801,11.493098,33.33333333333333,6,0.8797300000000554
241,182.29541664226258,13.886257,77.77777777777779,18,0.8780200000000562
242,-4.112436482094992,11.534523,71.42857142857143,7,0.8773550000000565
243,7.408517235181662,8.147487,100.0,3,0.8770700000000566
244,4.412653948400688,1.1418409,100.0,2,0.8768800000000567
245,-12.173880260825946,-3.9143429,100.0,2,0.8766900000000568
246,49.678552728478074,10.959041,80.0,5,0.876215000000057
247,-15.952806767865102,6.770527,50.0,2,0.8760250000000571
248,129.81162527245374,11.4886675,100.0,8,0.8752650000000575
249,-181.0271226555093,4.569847,14.285714285714285,7,0.8746000000000578
250,200.5618715205103,14.498462,100.0,10,0.8736500000000582
251,-58.99780635775442,-10.00367,100.0,2,0.8734600000000583
252,42.51580705048882,6.5374846,100.0,6,0.8728900000000586
253,175.31409738462665,18.092806,83.33333333333334,12,0.8717500000000591
254,-53.84511310262144,-10.977444,100.0,1,0.8716550000000591
255,-112.24537938485412,-14.54603,0.0,2,0.8714650000000592
256,-20.434642948234924,1.9686832,50.0,2,0.8712750000000593
257,31.743427991555215,17.511415,75.0,8,0.8705150000000597
258,108.95696993814289,16.361782,100.0,4,0.8701350000000598
259,247.85262058197787,12.604791,100.0,10,0.8691850000000603
260,-26.36665267999222,-12.819824,100.0,2,0.8689950000000604
261,-31.48751704683269,-19.47009,100.0,1,0.8689000000000604
262,270.2417963317133,12.000919,87.5,16,0.8673800000000611
263,16.15553755989253,8.456691,60.0,5,0.8669050000000613
264,-57.601194444207444,11.42501,0.0,3,0.8666200000000615
265,36.3456877947914,7.7474227,100.0,5,0.8661450000000617
266,-44.8422775183348,5.2457366,80.0,5,0.8656700000000619
267,-26.731534242896586,6.051435,71.42857142857143,7,0.8650050000000622
268,400.65390913743215,15.00444,100.0,16,0.8634850000000629
269,143.38555318780075,8.268336,90.0,10,0.8625350000000633
270,-63.01913038141354,-10.232817,50.0,2,0.8623450000000634
271,276.23886350112105,17.853697,83.33333333333334,12,0.861205000000064
272,41.799959417249035,15.618103,100.0,3,0.8609200000000641
273,320.472556921991,17.01614,55.00000000000001,20,0.859020000000065
274,-42.16253989479205,-4.774674,66.66666666666666,3,0.8587350000000651
275,132.6731837773275,16.036907,100.0,5,0.8582600000000653
276,-3.4731456512222394,4.354093,100.0,3,0.8579750000000654
277,61.76867816217501,16.0,100.0,4,0.8575950000000656
278,-30.899703963006854,8.150077,33.33333333333333,3,0.8573100000000657
279,56.197719721365466,9.460851,71.42857142857143,7,0.856645000000066
280,141.45696131548522,15.601108,83.33333333333334,6,0.8560750000000663
281,-5.3753030715311425,-1.4175596,100.0,2,0.8558850000000664
282,-23.571215534611095,-10.81543,100.0,2,0.8556950000000665
283,-7.637707579775935,8.563054,33.33333333333333,3,0.8554100000000666
284,58.83915101142039,19.05213,80.0,5,0.8549350000000668
285,126.18656734798748,16.675571,100.0,6,0.8543650000000671
286,63.04919148355393,8.300821,100.0,4,0.8539850000000673
287,-95.603502973258,-10.337139,50.0,2,0.8537950000000674
288,17.75797458716177,2.2971177,100.0,8,0.8530350000000677
289,225.80850287299273,15.643883,100.0,8,0.8522750000000681
290,9.67312284149886,0.76044273,100.0,2,0.8520850000000681
291,76.33265681852183,-0.116238855,100.0,11,0.8510400000000686
292,384.21500740517956,21.379889,100.0,11,0.8499950000000691
293,70.48453178716846,18.831953,50.0,8,0.8492350000000695
294,55.066334403165506,10.214855,75.0,4,0.8488550000000696
295,258.905931763586,19.226357,100.0,8,0.84809500000007
296,18.64967148243872,7.448254,100.0,2,0.8479050000000701
297,-40.06749156895086,-26.0,100.0,1,0.8478100000000701
298,-40.46044046972334,2.5869007,100.0,4,0.8474300000000703
299,-32.590500219746225,17.477222,25.0,8,0.8466700000000706
300,13.008237319145735,9.542726,100.0,3,0.8463850000000708
301,-44.831370010030874,-17.811018,100.0,2,0.8461950000000709
302,-78.41576467905992,6.834575,50.0,4,0.845815000000071
303,-25.13255056458717,5.471253,100.0,2,0.8456250000000711
304,101.28237890857903,9.588377,88.88888888888889,9,0.8447700000000715
305,-78.4749735094246,-2.2215817,33.33333333333333,3,0.8444850000000717
306,3.549413899664245,1.4744648,100.0,6,0.8439150000000719
307,108.77019927271999,9.725336,100.0,8,0.8431550000000723
308,52.48428858555034,6.1478043,83.33333333333334,6,0.8425850000000725
309,-32.989415875258175,-2.3877945,100.0,3,0.8423000000000727
310,9.030437940063074,2.0600433,100.0,2,0.8421100000000727
311,104.56287205878078,11.526185,85.71428571428571,7,0.841445000000073
312,227.39499254984264,15.716071,88.88888888888889,9,0.8405900000000734
313,-74.79310138830438,5.4179015,75.0,4,0.8402100000000736
314,-27.827169668047,-15.203964,100.0,1,0.8401150000000737
315,189.1453195053171,16.57714,91.66666666666666,12,0.8389750000000742
316,5.9348064735086865,2.6904907,100.0,2,0.8387850000000743
317,382.02524072271746,15.499841,100.0,13,0.8375500000000748
318,-79.87879207686846,1.6717993,0.0,3,0.837265000000075
319,272.3824702293128,11.562047,85.71428571428571,14,0.8359350000000756
320,23.31503624826946,12.184793,61.53846153846154,13,0.8347000000000762
321,162.8334618276446,16.121252,100.0,6,0.8341300000000764
322,-67.92848509917381,-18.404839,100.0,1,0.8340350000000765
323,179.433467527273,8.096724,100.0,9,0.8331800000000769
324,-46.61882510198781,-6.38221,100.0,3,0.832895000000077
325,-72.6981523413002,1.9232273,75.0,4,0.8325150000000772
326,168.86714083877322,16.701197,100.0,7,0.8318500000000775
327,-0.36463403701782227,18.532532,75.0,4,0.8314700000000776
328,83.45976173901215,8.627468,100.0,6,0.8309000000000779
329,13.825778657915315,5.73886,100.0,2,0.830710000000078
330,6.454167435230595,1.0615807,100.0,2,0.8305200000000781
331,-77.21282547928845,-26.0,0.0,1,0.8304250000000781
332,-14.91428570505482,1.0056496,100.0,4,0.8300450000000783
333,32.94984669220072,7.5111365,100.0,6,0.8294750000000786
334,85.32152110130846,10.070409,100.0,4,0.8290950000000787
335,16.768280630482195,11.168687,66.66666666666666,3,0.8288100000000789
336,250.02994122732764,13.324611,100.0,10,0.8278600000000793
337,242.9674630977164,18.937178,100.0,9,0.8270050000000797
338,-16.148696514323753,0.9313774,100.0,4,0.8266250000000799
339,16.512522760582637,5.632721,100.0,2,0.82643500000008
340,123.52537680726886,16.424168,66.66666666666666,12,0.8252950000000805
341,195.0574475848633,4.907401,100.0,15,0.8238700000000811
342,242.1961237720423,13.781855,81.81818181818183,11,0.8228250000000816
343,142.8348268203318,4.9357014,100.0,9,0.821970000000082
344,223.458635241218,16.020187,100.0,9,0.8211150000000824
345,-64.56267760635862,-20.204065,100.0,1,0.8210200000000825
346,-115.2987702780851,-16.868929,50.0,2,0.8208300000000825
347,9.860979585617471,8.844735,83.33333333333334,6,0.8202600000000828
348,-16.912553145868813,6.194029,100.0,2,0.8200700000000829
349,309.2784010793989,13.343373,100.0,12,0.8189300000000834
350,366.8847695389228,22.660118,100.0,10,0.8179800000000839
351,150.4533585182155,10.186395,100.0,7,0.8173150000000842
352,-15.032982069554976,10.622333,80.0,5,0.8168400000000844
353,1.5754917631175545,12.61902,80.0,5,0.8163650000000846
354,20.443538023399597,8.201748,75.0,4,0.8159850000000848
355,-23.342718152859334,1.656311,50.0,2,0.8157950000000849
356,103.03380785270586,14.876545,100.0,4,0.815415000000085
357,416.83366648812955,19.735548,100.0,13,0.8141800000000856
358,-97.0730180193901,-10.450288,100.0,3,0.8138950000000857
359,306.20823366613547,8.856936,100.0,17,0.8122800000000865
360,416.6086887822769,16.987719,93.33333333333333,15,0.8108550000000871
361,213.27313357770862,9.578409,100.0,10,0.8099050000000876
362,23.340553470665988,7.831612,100.0,2,0.8097150000000877
363,32.52809803722353,13.228149,75.0,4,0.8093350000000878
364,361.48210455456444,20.753883,84.61538461538461,13,0.8081000000000884
365,398.41949807996417,18.837572,100.0,13,0.806865000000089
366,-36.06066725346811,-20.11983,100.0,1,0.806770000000089
367,-34.37333809550228,0.67249393,100.0,2,0.8065800000000891
368,84.46760551235508,18.539406,100.0,4,0.8062000000000893
369,140.34976275774167,12.732634,88.88888888888889,9,0.8053450000000897
370,32.548099468793964,1.2385337,100.0,4,0.8049650000000899
371,106.73077750770814,11.549263,83.33333333333334,6,0.8043950000000901
372,-39.05279286604639,0.61573315,100.0,2,0.8042050000000902
373,-8.059238587497887,-5.0360513,100.0,3,0.8039200000000903
374,125.12394125808072,9.470462,88.88888888888889,9,0.8030650000000907
375,351.18560709384127,14.357687,78.94736842105263,19,0.8012600000000916
376,-0.5719491741619933,4.605326,66.66666666666666,3,0.8009750000000917
377,-14.652482830604235,5.737592,66.66666666666666,6,0.800405000000092
378,4.145596248121816,0.9749141,100.0,2,0.800215000000092
379,21.0347802273663,7.6997347,100.0,2,0.8000250000000921
380,10.246626677353365,2.4000716,100.0,2,0.7998350000000922
381,88.38160961818637,12.819941,100.0,4,0.7994550000000924
382,-57.173014174068484,-13.436785,100.0,1,0.7993600000000924
383,-41.19709072664547,-26.0,100.0,1,0.7992650000000925
384,-61.12462721806723,-12.590187,100.0,1,0.7991700000000925
385,-93.85646412820616,-9.215077,66.66666666666666,3,0.7988850000000927
386,-33.276027574105335,11.220876,100.0,3,0.7986000000000928
387,48.15391793498363,20.478277,50.0,6,0.798030000000093
388,74.14324673675478,5.200249,100.0,5,0.7975550000000933
389,-38.33127498626709,4.6836576,0.0,2,0.7973650000000934
390,-67.1441062513952,-16.398201,100.0,1,0.7972700000000934
391,201.15595956241702,8.223048,100.0,10,0.7963200000000938
392,17.958006938535163,15.871219,40.0,5,0.7958450000000941
393,-68.63001836992117,-2.160985,50.0,2,0.7956550000000941
394,-74.85342115895577,-4.662703,33.33333333333333,3,0.7953700000000943
395,308.4602980446933,18.079184,90.9090909090909,11,0.7943250000000948
396,-73.86554836698694,15.515868,0.0,6,0.793755000000095
397,-34.43164838340564,2.320322,75.0,4,0.7933750000000952
398,304.7299897724606,20.421093,100.0,9,0.7925200000000956
399,136.9197302090574,8.591663,88.88888888888889,9,0.791665000000096
400,-23.18468965835559,-15.0400715,100.0,1,0.791570000000096
401,-22.871365713845798,-1.4790462,80.0,5,0.7910950000000962
402,63.1665221146337,7.0722423,100.0,4,0.7907150000000964
403,-39.7929829690549,4.91724,25.0,4,0.7903350000000966
404,-60.135946415164476,-14.888234,0.0,1,0.7902400000000966
405,227.551978033463,20.870623,100.0,8,0.789480000000097
406,98.83700019989476,6.222241,100.0,9,0.7886250000000974
407,576.2365938424606,21.972105,94.11764705882352,17,0.7870100000000981
408,21.55833786185776,4.67113,80.0,5,0.7865350000000983
409,62.36524742629913,11.99484,100.0,3,0.7862500000000985
410,67.08377979419262,13.29116,83.33333333333334,6,0.7856800000000987
411,305.65575458795774,18.568666,85.71428571428571,14,0.7843500000000994
412,-56.997273992022414,2.0,100.0,2,0.7841600000000994
413,-82.27901478764203,6.5198383,50.0,4,0.7837800000000996
414,69.85917959016861,8.155966,100.0,4,0.7834000000000998
415,57.660481576341695,15.55723,80.0,5,0.7829250000001
416,-12.377845573685153,0.8723863,66.66666666666666,3,0.7826400000001001
417,24.319979265125287,6.988455,100.0,2,0.7824500000001002
418,-68.06492212006535,-22.179487,100.0,1,0.7823550000001003
419,83.84755693233365,13.94765,80.0,5,0.7818800000001005
420,25.77926127305861,9.824905,80.0,5,0.7814050000001007
421,-96.59730039877886,14.096666,14.285714285714285,7,0.780740000000101
422,409.43732040285204,22.411005,100.0,11,0.7796950000001015
423,-75.68273414491064,6.79438,33.33333333333333,6,0.7791250000001018
424,65.37629180412489,16.943241,75.0,4,0.7787450000001019
425,763.5203373676759,20.381474,71.42857142857143,35,0.7754200000001035
426,43.93323809741224,14.760083,60.0,5,0.7749450000001037
427,816.9263622568233,19.292934,96.29629629629629,27,0.7723800000001049
428,113.78064437290722,17.464748,100.0,4,0.772000000000105
429,2.793832405591232,0.9627085,100.0,2,0.7718100000001051
430,58.10420864842317,8.907745,100.0,5,0.7713350000001054
431,-55.22914146187938,-10.336128,100.0,1,0.7712400000001054
432,128.41184077524338,20.942303,50.0,10,0.7702900000001058
433,17.629132834886644,3.3771844,100.0,2,0.7701000000001059
434,140.0168384724575,11.568603,100.0,6,0.7695300000001062
435,-97.71920631153083,-3.1559722,33.33333333333333,3,0.7692450000001063
436,-36.24095997503347,1.6828156,50.0,4,0.7688650000001065
437,-89.21989107420413,-0.0011202494,33.33333333333333,3,0.7685800000001066
438,168.23409315783948,19.643126,83.33333333333334,6,0.7680100000001069
439,-36.30821987896934,-4.4206295,100.0,2,0.767820000000107
440,55.60422719325709,11.149194,100.0,3,0.7675350000001071
