Episode,Total_Reward,Avg_SINR,Avg_Detection_Rate_Episode,Steps,Epsilon_End_Episode
1,-36.88834238052368,4.6823688,72.72727272727273,11,0.9998606666666667
2,31.579763412475586,8.739595,50.0,4,0.9998100000000001
3,1080.8573474884033,17.679895,83.33333333333334,36,0.9993540000000003
4,305.486289024353,12.491044,92.3076923076923,13,0.9991893333333337
5,68.17927742004395,3.1433167,85.71428571428571,7,0.9991006666666671
6,97.91717910766602,10.074426,80.0,5,0.9990373333333338
7,-34.928775787353516,-6.9954123,50.0,2,0.9990120000000005
8,-24.45709228515625,-23.610563,100.0,1,0.9989993333333338
9,297.8151088953018,14.466934,83.33333333333334,12,0.9988473333333339
10,477.2908992767334,20.835196,88.23529411764706,17,0.9986320000000006
11,-60.734673500061035,-6.0797563,33.33333333333333,3,0.9985940000000006
12,58.19400882720947,10.071721,100.0,4,0.998543333333334
13,-10.968254089355469,-8.597375,100.0,4,0.9984926666666674
14,78.3907699584961,11.5894985,60.0,5,0.9984293333333341
15,82.41692352294922,8.556709,80.0,5,0.9983660000000008
16,-27.125986099243164,1.6131796,33.33333333333333,3,0.9983280000000008
17,31.20673155784607,3.2900321,85.71428571428571,7,0.9982393333333341
18,26.209561347961426,0.5315094,100.0,5,0.9981760000000008
19,-10.143978118896484,-12.281269,100.0,1,0.9981633333333342
20,300.4450740814209,4.6449003,87.5,24,0.9978593333333343
21,316.23900985717773,11.100324,85.71428571428571,14,0.9976820000000011
22,354.37611293792725,15.129955,75.0,16,0.9974793333333345
23,19.907184600830078,1.0014191,100.0,2,0.9974540000000012
24,49.73934268951416,1.5534024,100.0,4,0.9974033333333345
25,31.510955810546875,3.3239222,100.0,2,0.9973780000000012
26,235.98867416381836,14.767695,80.0,10,0.9972513333333346
27,71.54163551330566,9.712934,62.5,8,0.9971500000000013
28,303.4365816116333,13.642204,78.57142857142857,14,0.9969726666666681
29,-28.904312133789062,-25.999998,100.0,1,0.9969600000000014
30,83.73508071899414,9.795804,69.23076923076923,13,0.9967953333333348
31,-15.6876802444458,-12.844546,100.0,2,0.9967700000000015
32,-28.48174476623535,-25.380173,100.0,1,0.9967573333333348
33,106.9884467124939,12.052492,50.0,10,0.9966306666666682
34,411.88323068618774,8.68187,81.81818181818183,33,0.9962126666666684
35,98.16849327087402,15.401823,60.0,5,0.9961493333333351
36,117.38451385498047,10.426331,83.33333333333334,6,0.9960733333333351
37,-71.48501491546631,2.5201967,66.66666666666666,6,0.9959973333333352
38,98.01644134521484,11.124283,100.0,4,0.9959466666666685
39,316.58157110214233,12.195616,85.71428571428571,14,0.9957693333333353
40,-26.464614868164062,-25.999998,100.0,1,0.9957566666666686
41,83.61638975143433,11.098818,57.14285714285714,14,0.9955793333333354
42,-24.140442371368408,-14.593386,100.0,2,0.995554000000002
43,238.54895448684692,10.535355,78.57142857142857,14,0.9953766666666688
44,-28.84022331237793,-25.999998,100.0,1,0.9953640000000021
45,-0.5356031656265259,-6.867602,100.0,1,0.9953513333333355
46,-27.00494956970215,-5.5521936,50.0,2,0.9953260000000022
47,65.80198001861572,1.1492032,88.88888888888889,9,0.9952120000000022
48,256.37673807144165,14.665366,88.88888888888889,9,0.9950980000000023
49,136.60222339630127,10.905016,100.0,5,0.995034666666669
50,57.913023471832275,14.400134,50.0,4,0.9949840000000023
51,5.971322536468506,1.0743544,85.71428571428571,7,0.9948953333333357
52,298.94064569473267,14.813275,63.1578947368421,19,0.9946546666666691
53,11.50204610824585,9.639684,33.33333333333333,6,0.9945786666666692
54,514.9788228273392,10.786596,81.48148148148148,27,0.9942366666666693
55,-30.423200607299805,-25.999998,100.0,1,0.9942240000000027
56,87.20081329345703,8.650848,71.42857142857143,7,0.994135333333336
57,171.7757978439331,10.641255,70.0,20,0.9938820000000028
58,411.69618701934814,15.424506,81.25,16,0.9936793333333362
59,74.63250732421875,5.894215,100.0,5,0.9936160000000029
60,133.00903749465942,13.4946,50.0,10,0.9934893333333363
61,215.64172458648682,14.503021,75.0,12,0.9933373333333364
62,161.34093284606934,7.747075,80.0,10,0.9932106666666698
63,118.4964599609375,17.335148,75.0,4,0.9931600000000032
64,139.52416038513184,14.524632,71.42857142857143,7,0.9930713333333365
65,-28.05112648010254,-25.999998,100.0,1,0.9930586666666699
66,-5.380218505859375,5.2491536,33.33333333333333,3,0.9930206666666699
67,563.3137197494507,18.641346,73.68421052631578,19,0.9927800000000033
68,885.64399766922,18.42499,71.875,32,0.9923746666666702
69,252.20832300186157,12.3918295,76.47058823529412,17,0.992159333333337
70,-11.392568588256836,-13.504695,100.0,1,0.9921466666666703
71,134.4206027984619,8.635623,100.0,6,0.9920706666666703
72,88.84561729431152,17.984457,75.0,4,0.9920200000000037
73,36.249871253967285,5.7762775,75.0,16,0.9918173333333371
74,323.34235763549805,13.530288,88.23529411764706,17,0.9916020000000039
75,133.77762460708618,10.112718,72.72727272727273,11,0.9914626666666706
76,19.07267200946808,4.505093,57.14285714285714,7,0.991374000000004
77,13.77737045288086,-1.9666529,100.0,2,0.9913486666666707
78,-13.46380615234375,-2.165947,50.0,2,0.9913233333333373
79,-20.289146423339844,-2.9876032,100.0,2,0.991298000000004
80,6.761151313781738,8.038918,50.0,6,0.991222000000004
81,179.19284057617188,17.36237,100.0,5,0.9911586666666707
82,118.68867492675781,10.775166,100.0,5,0.9910953333333374
83,143.5669026374817,9.735102,77.77777777777779,9,0.9909813333333375
84,216.43255615234375,12.605804,100.0,8,0.9908800000000042
85,193.6387538909912,20.378855,71.42857142857143,7,0.9907913333333376
86,-28.216236114501953,-25.999998,100.0,1,0.9907786666666709
87,76.29103565216064,16.21599,33.33333333333333,6,0.990702666666671
88,173.71916341781616,8.921095,80.0,10,0.9905760000000043
89,216.27736473083496,15.109927,87.5,8,0.990474666666671
90,-28.35152816772461,-25.999998,100.0,1,0.9904620000000044
91,88.09336376190186,6.3109074,100.0,5,0.9903986666666711
92,-58.30796813964844,-25.999998,0.0,1,0.9903860000000044
93,84.83266258239746,8.481611,57.14285714285714,14,0.9902086666666712
94,56.97072887420654,7.8863854,100.0,3,0.9901706666666712
95,144.03003358840942,12.746713,75.0,8,0.9900693333333379
96,216.12193822860718,6.757751,68.18181818181817,22,0.9897906666666714
97,144.5427508354187,13.811434,85.71428571428571,7,0.9897020000000047
98,465.9582291841507,18.422472,92.3076923076923,13,0.9895373333333382
99,-26.89295196533203,-25.172718,100.0,1,0.9895246666666715
100,13.367999076843262,-0.30317593,100.0,2,0.9894993333333382
101,-58.349143981933594,-25.999998,0.0,1,0.9894866666666715
102,413.4599828720093,8.530378,85.71428571428571,28,0.989132000000005
103,256.8636140823364,17.813643,80.0,10,0.9890053333333384
104,1312.109097480774,19.040298,80.95238095238095,42,0.9884733333333386
105,239.8778133392334,12.90126,69.23076923076923,13,0.988308666666672
106,132.43423891067505,12.237563,63.63636363636363,11,0.9881693333333388
107,160.55713891983032,7.758282,100.0,8,0.9880680000000055
108,320.955810546875,15.881254,100.0,10,0.9879413333333389
