Episode,Step,True_Attacker_Range,Detection_Outcome,Detection_Confidence,ISAC_Effort,User_SINR,Current_Epsilon
1,1,51.78155,1,0.735848,0.7,18.748598,0.9999873333333333
1,2,51.999973,0,0.0,0.49999999999999994,17.172054,0.9999746666666667
1,3,52.399868,1,0.64782286,0.49999999999999994,18.7076,0.999962
1,4,52.389866,1,0.7612906,0.3,20.055054,0.9999493333333334
1,5,52.371624,1,0.61434245,0.5,-18.284786,0.9999366666666667
1,6,52.224285,0,0.0,0.5,-15.41868,0.999924
1,7,52.44983,1,0.66043186,0.5,7.400419,0.9999113333333334
1,8,52.425354,0,0.0,0.5,3.5977924,0.9998986666666667
1,9,52.324406,1,0.7281853,0.5,8.119702,0.999886
1,10,52.288223,1,0.6661401,0.5,-0.49717355,0.9998733333333334
1,11,52.334335,1,0.76214486,0.3,-8.094518,0.9998606666666667
2,1,41.110004,0,0.0,0.49999999999999994,17.357763,0.9998480000000001
2,2,41.076565,0,0.0,0.49999999999999994,17.78089,0.9998353333333334
2,3,40.875923,1,0.84189904,0.3,25.819727,0.9998226666666667
2,4,40.66739,1,0.7571525,0.3,-25.999998,0.9998100000000001
3,1,44.699524,0,0.0,0.49999999999999994,-3.6911805,0.9997973333333334
3,2,44.616276,0,0.0,0.7,-7.794189,0.9997846666666668
3,3,44.3265,1,0.8379206,0.7,20.14254,0.9997720000000001
3,4,44.33567,1,0.7797687,0.8999999999999999,27.241465,0.9997593333333334
3,5,44.34118,1,0.8976796,0.7,27.51634,0.9997466666666668
3,6,44.226746,1,0.7565991,0.7,30.0,0.9997340000000001
3,7,44.55681,1,0.77479684,0.7,-1.0971212,0.9997213333333335
3,8,44.664673,1,0.7896908,0.7,19.67992,0.9997086666666668
3,9,44.782734,1,0.7698842,0.8999999999999999,28.748013,0.9996960000000001
3,10,44.73557,1,0.88643754,0.8999999999999999,30.0,0.9996833333333335
3,11,44.464172,1,0.8342778,0.8999999999999999,29.572474,0.9996706666666668
3,12,44.718815,1,0.78376025,0.8999999999999999,30.0,0.9996580000000002
3,13,44.571564,1,0.7946799,0.8999999999999999,30.0,0.9996453333333335
3,14,44.619328,0,0.0,0.8999999999999999,30.0,0.9996326666666668
3,15,44.833332,1,0.76625705,0.8999999999999999,30.0,0.9996200000000002
3,16,45.232224,1,0.72006553,0.8999999999999999,29.987524,0.9996073333333335
3,17,45.100662,0,0.0,1.0,4.9801273,0.9995946666666669
3,18,44.98421,1,0.8182026,1.0,27.906183,0.9995820000000002
3,19,45.110905,1,0.70786506,1.0,8.840257,0.9995693333333335
3,20,45.507626,1,0.7231548,1.0,3.1685703,0.9995566666666669
3,21,45.42634,1,0.7870348,0.8,30.0,0.9995440000000002
3,22,45.399265,1,0.7704076,0.8,30.0,0.9995313333333335
3,23,45.807133,1,0.69553334,0.6000000000000001,-14.856447,0.9995186666666669
3,24,45.88329,0,0.0,0.8,29.173813,0.9995060000000002
3,25,45.843464,1,0.8062543,0.8,-1.8747449,0.9994933333333336
3,26,46.29017,1,0.76550305,1.0,25.256348,0.9994806666666669
3,27,46.24631,1,0.8102446,1.0,17.564625,0.9994680000000002
3,28,45.98844,1,0.81378776,1.0,19.268747,0.9994553333333336
3,29,46.27506,1,0.72323,1.0,25.41711,0.9994426666666669
3,30,46.678993,1,0.7752122,1.0,23.897364,0.9994300000000003
3,31,46.5215,0,0.0,1.0,30.0,0.9994173333333336
3,32,46.853714,1,0.7482883,1.0,30.0,0.9994046666666669
3,33,46.610596,1,0.7971231,1.0,-3.3789878,0.9993920000000003
3,34,46.923637,1,0.78195405,1.0,-4.983567,0.9993793333333336
3,35,46.824158,1,0.7247838,1.0,27.321005,0.999366666666667
3,36,46.828217,1,0.7745212,1.0,-21.52993,0.9993540000000003
4,1,43.78156,1,0.8111139,0.7,23.491024,0.9993413333333336
4,2,43.734158,1,0.8130179,0.8999999999999999,21.739418,0.999328666666667
4,3,43.846794,1,0.7393467,1.0,15.459564,0.9993160000000003
4,4,44.071407,1,0.73311126,0.8,10.005117,0.9993033333333337
4,5,44.16781,1,0.74257344,0.8,26.65464,0.999290666666667
4,6,44.010662,1,0.7441301,0.8,16.770393,0.9992780000000003
4,7,44.02088,1,0.8648648,0.8,4.631987,0.9992653333333337
4,8,44.09725,0,0.0,1.0,17.177504,0.999252666666667
4,9,44.04479,1,0.8550959,0.8,-3.5357633,0.9992400000000004
4,10,44.23021,1,0.73121226,0.8,26.098942,0.9992273333333337
4,11,44.175278,1,0.73920506,0.6000000000000001,1.0677271,0.999214666666667
4,12,43.89065,1,0.77820396,0.6000000000000001,19.290756,0.9992020000000004
4,13,44.20673,1,0.7435103,0.6000000000000001,-16.467747,0.9991893333333337
5,1,37.439896,1,0.88940823,0.7,19.530497,0.999176666666667
5,2,37.4473,1,0.8210115,0.7,-17.234667,0.9991640000000004
5,3,37.785122,0,0.0,0.8999999999999999,2.199324,0.9991513333333337
5,4,37.813457,1,0.8682687,0.7,-4.3155704,0.9991386666666671
5,5,37.772354,1,0.7469739,0.7,15.201986,0.9991260000000004
5,6,37.76546,1,0.8589318,0.7,26.043003,0.9991133333333337
5,7,37.96898,1,0.96945095,0.7,-19.421354,0.9991006666666671
6,1,42.622005,1,0.7834402,0.7,26.564943,0.9990880000000004
6,2,42.545685,1,0.7636888,0.7,30.0,0.9990753333333338
6,3,42.89288,0,0.0,0.49999999999999994,-13.396677,0.9990626666666671
6,4,42.84221,1,0.80254924,0.7,30.0,0.9990500000000004
6,5,42.690517,1,0.7352091,0.8999999999999999,-22.796139,0.9990373333333338
7,1,43.899357,0,0.0,0.49999999999999994,9.064914,0.9990246666666671
7,2,44.183357,1,0.7835965,0.3,-23.055738,0.9990120000000005
8,1,33.26148,1,0.82573664,0.7,-23.610563,0.9989993333333338
9,1,42.047924,1,0.85676616,0.8999999999999999,9.08082,0.9989866666666671
9,2,42.026657,1,0.87370765,0.8999999999999999,30.0,0.9989740000000005
9,3,41.893326,0,0.0,0.8999999999999999,17.92924,0.9989613333333338
9,4,42.22466,1,0.72369236,1.0,18.707813,0.9989486666666672
9,5,41.899315,1,0.8415774,0.8,17.206518,0.9989360000000005
9,6,41.97145,1,0.7969489,0.6000000000000001,-5.777534,0.9989233333333338
9,7,41.980824,1,0.8480022,0.8,25.517902,0.9989106666666672
9,8,42.148262,0,0.0,1.0,15.121479,0.9988980000000005
9,9,42.184677,1,0.7183917,1.0,17.898394,0.9988853333333338
9,10,42.001064,1,0.8824203,0.8,24.119562,0.9988726666666672
9,11,42.186687,1,0.7481793,0.8,25.603928,0.9988600000000005
9,12,42.120003,1,0.8449439,0.6000000000000001,-21.80492,0.9988473333333339
10,1,50.930584,1,0.6787615,0.7,30.0,0.9988346666666672
10,2,51.06624,1,0.7487126,0.8999999999999999,30.0,0.9988220000000005
10,3,51.328865,1,0.7687284,0.8999999999999999,30.0,0.9988093333333339
10,4,51.09347,1,0.72411376,0.7,30.0,0.9987966666666672
10,5,51.048256,1,0.6873464,0.49999999999999994,30.0,0.9987840000000006
10,6,50.792233,1,0.82615435,0.49999999999999994,30.0,0.9987713333333339
10,7,50.41094,1,0.6394322,0.49999999999999994,-9.721737,0.9987586666666672
10,8,50.01425,1,0.78697217,0.7,29.542318,0.9987460000000006
10,9,50.009445,1,0.63230693,0.49999999999999994,6.141867,0.9987333333333339
10,10,50.304127,0,0.0,0.3,-2.0962083,0.9987206666666673
10,11,50.30189,1,0.7042504,0.5,29.678335,0.9987080000000006
10,12,50.04635,1,0.80901206,0.5,26.653755,0.9986953333333339
10,13,50.047333,1,0.6788072,0.7,30.0,0.9986826666666673
10,14,49.642265,1,0.775861,0.7,30.0,0.9986700000000006
10,15,49.684467,0,0.0,0.49999999999999994,30.0,0.998657333333334
10,16,49.617416,1,0.6799543,0.49999999999999994,30.0,0.9986446666666673
10,17,49.437984,1,0.7442579,0.3,-25.999998,0.9986320000000006
11,1,45.577198,0,0.0,0.7,6.91054,0.998619333333334
11,2,45.617138,1,0.7813217,0.49999999999999994,0.85018915,0.9986066666666673
11,3,45.477158,0,0.0,0.49999999999999994,-25.999998,0.9985940000000006
12,1,49.285614,1,0.7492158,0.7,20.325079,0.998581333333334
12,2,49.74997,1,0.709716,0.7,23.161587,0.9985686666666673
12,3,49.59314,1,0.6802572,0.7,11.119392,0.9985560000000007
12,4,49.216576,1,0.74871117,0.7,-14.319171,0.998543333333334
13,1,35.932243,1,0.8296058,0.7,-18.475863,0.9985306666666673
13,2,36.34413,1,0.7968671,0.7,-1.4069718,0.9985180000000007
13,3,36.26494,1,0.8960691,0.7,3.7977018,0.998505333333334
13,4,36.199284,1,0.8345967,0.49999999999999994,-18.304367,0.9984926666666674
14,1,42.11577,1,0.73491216,0.7,15.329202,0.9984800000000007
14,2,42.08804,0,0.0,0.7,26.720453,0.998467333333334
14,3,42.14416,1,0.7429394,0.7,9.1990595,0.9984546666666674
14,4,42.256912,0,0.0,0.7,28.74958,0.9984420000000007
14,5,42.454247,1,0.85717845,0.7,-22.0508,0.9984293333333341
15,1,53.27759,1,0.7174131,0.7,11.078268,0.9984166666666674
15,2,53.01661,0,0.0,0.7,-2.294724,0.9984040000000007
15,3,53.189663,1,0.74850035,0.8999999999999999,30.0,0.9983913333333341
15,4,52.989246,1,0.7474398,0.8999999999999999,30.0,0.9983786666666674
15,5,53.2132,1,0.7345447,0.8999999999999999,-25.999998,0.9983660000000008
16,1,48.27809,1,0.7741397,0.7,4.083048,0.9983533333333341
16,2,48.277756,0,0.0,0.49999999999999994,26.756489,0.9983406666666674
16,3,48.450703,0,0.0,0.49999999999999994,-25.999998,0.9983280000000008
17,1,41.98039,1,0.76187336,0.8999999999999999,4.689392,0.9983153333333341
17,2,42.09299,1,0.821651,0.7,-8.264923,0.9983026666666674
17,3,42.256645,1,0.6900176,0.7,-19.9167,0.9982900000000008
17,4,42.68346,0,0.0,0.8999999999999999,21.712214,0.9982773333333341
17,5,42.66749,1,0.831152,0.8999999999999999,23.66988,0.9982646666666675
17,6,42.9259,1,0.77869415,0.8999999999999999,14.798874,0.9982520000000008
17,7,42.84163,1,0.80478156,0.8999999999999999,-13.65851,0.9982393333333341
18,1,41.246876,1,0.7003001,0.7,27.328283,0.9982266666666675
