Episode,Total_Reward,Avg_SINR,Steps
146,-17.827004046533887,0.0,2
147,3.7617620522379838,12.634842,5
148,2.2153243179659476,15.0,4
149,39.31134357695908,22.537802,14
150,-22.25593540976313,-30.0,1
151,63.1850003821273,23.965715,20
152,-7.4596502388442705,0.0,2
153,21.29639038231907,19.755423,8
154,-18.564649131717214,0.0,2
155,-22.420622641293058,-30.0,1
156,45.038160506793844,23.67979,13
157,-17.83523047566333,0.0,2
158,-13.3,-30.0,1
159,-8.381660090638865,13.156015,4
160,39.783913615680746,20.496046,13
161,-13.3,-30.0,1
162,-22.42584117806857,-30.0,1
163,6.270709268589034,15.452215,5
164,30.66015151762411,21.453777,10
165,-22.289813079979957,-30.0,1
166,17.56871991001848,21.305033,7
167,-13.71663554172537,10.0,3
168,-0.8618792563473008,8.148618,5
169,-2.576080653646933,3.1867855,3
170,3.4094773448322613,16.37301,7
171,53.92670584411771,23.36108,18
172,-2.549020567481472,10.0,3
173,-15.182593813119333,4.2110405,3
174,-8.202090410015153,14.123764,4
175,-13.3,-30.0,1
176,1.8658710197919746,15.0,4
177,83.42973765587121,24.217463,24
178,-17.803136747919147,0.0,2
179,-22.215701890142043,-30.0,1
180,-13.3,-30.0,1
181,-3.006668780294145,10.0,3
182,8.301575360284943,13.356738,6
183,14.796421721543034,15.494426,8
184,-8.317066670278962,15.0,4
185,6.674069484096062,14.566078,5
186,-12.163501862031216,-30.0,1
187,14.539567782026275,19.036848,7
188,-22.24715558067529,-30.0,1
189,-8.633316909742714,0.0,2
190,11.497280606277933,20.0,6
191,-13.163240504176636,10.0,3
192,-18.47146811424696,0.0,2
193,-13.782761322392432,5.2421546,3
194,32.49172326219096,22.588696,10
195,-3.612325922122242,17.204418,5
196,-2.5810751688105267,10.0,3
197,-3.1109489611906405,15.7730255,5
198,-7.367810334643426,0.0,2
199,-22.25424970218023,-30.0,1
200,-22.174945724450414,-30.0,1
201,-4.322552669347573,3.7161837,4
202,-6.461448172176402,1.7499199,3
203,-2.807023521284874,10.0,3
204,-12.832380746273117,8.9711685,3
205,-0.6339308366894958,6.4998465,5
206,-8.531188596732644,15.0,4
207,2.040715374191114,15.0,4
208,-13.147300924724817,10.0,3
209,34.83758756947738,21.659735,11
210,30.61213502360226,22.598106,10
211,-7.447516573048862,-1.6117086,2
212,-20.56897481498994,-11.330328,2
213,20.39509462872769,23.147272,10
214,67.69689809943053,25.049843,18
215,60.20668916046744,22.878748,19
216,-2.5822552887561105,7.242195,3
217,-13.3,-30.0,1
218,-5.009707946860868,3.4376183,3
219,-2.375158470866319,10.0,3
220,1.0130856781827315,9.218564,5
221,81.49064444112301,25.10941,21
222,-22.220404363232767,-30.0,1
223,-22.270221607829,-30.0,1
224,35.36225862990065,20.752655,11
225,-12.129139453640967,-30.0,1
226,1.719312550065645,19.171762,6
227,-18.734549298461246,-1.2383938,2
228,41.628914082039344,21.420029,14
229,7.286610025000634,16.40357,5
230,-22.181515937376837,-30.0,1
231,-12.812095587003068,10.0,3
232,49.473435309026456,22.6245,15
233,29.350195683914464,22.924692,12
234,15.851836974954896,18.42215,7
235,6.54386122226715,13.573062,6
236,-14.876831696978112,4.034465,4
237,-7.516848076530007,0.0,2
238,-12.202315677812349,-30.0,1
239,3.7056325882506407,13.486725,5
240,16.334514444516007,21.428572,7
241,-22.233253873204767,-30.0,1
242,-7.510228965874637,-3.0519953,2
243,-3.8390464107831903,10.0,3
244,26.856625317209858,21.351482,10
245,-3.2667668161413985,17.157957,5
246,17.31774716742299,19.454983,7
247,-3.236571600543769,18.0,5
248,2.7238803817433883,13.365453,5
249,-2.6152231860587154,10.0,3
250,59.72042368690064,24.477964,19
251,-2.5044862323348145,10.0,3
252,35.84714584297038,23.14766,14
253,72.28908983340128,24.412886,19
254,3.1525481821283705,18.232403,7
255,-8.489132540131429,15.0,4
256,-3.7938824516392025,9.728362,3
257,-8.48108862991905,15.0,4
258,1.525362794815969,13.356491,4
259,-18.574004013044544,0.0,2
260,24.349850125196756,23.035986,11
261,16.397897840338214,18.974375,7
262,7.142885970315579,17.84979,5
263,-0.1365326788489032,10.280912,4
264,-7.527350314918252,0.0,2
265,-12.194233594792976,-30.0,1
266,2.25087523669006,13.404814,4
267,-8.445201903033528,11.574224,4
268,-22.45715441976761,-30.0,1
269,11.614271708669431,20.0,6
270,1.9093934881623813,11.608742,4
271,69.50788347660868,24.621943,21
272,8.14549229533363,15.96035,6
273,4.501372061755177,18.453016,7
274,-22.23820928998694,-30.0,1
275,25.156099370454676,19.419783,9
276,-12.726911399613522,5.491178,3
277,8.604758774760892,13.994336,6
278,37.43282825545013,22.147444,12
279,-12.802860580642124,5.951677,3
280,-17.569693799771592,0.0,2
281,-3.6460826310708843,10.0,3
282,3.418215951469385,10.211542,5
283,29.080712489560312,22.287832,13
284,-7.455892836995417,0.0,2
285,-1.507321553398981,7.3251553,4
286,-8.002852153188051,15.0,4
287,9.120735398192132,14.418511,7
288,0.15479326077829114,10.480392,4
289,-13.3,-30.0,1
290,40.16531027053435,22.62058,12
291,-12.222178928132163,-30.0,1
292,-2.787330572376016,8.219628,3
293,1.9645818987097847,18.214136,6
294,-7.263391866262334,0.0,2
295,47.42413679705771,24.12445,13
296,39.64155306383485,24.002321,12
297,-22.24781956483789,-30.0,1
298,48.17710686308118,20.661034,15
299,-20.821319570617018,-9.253147,2
300,-14.17184801452873,9.789093,3
301,6.64581363041669,18.0,5
302,-3.804284288759895,10.0,3
303,-15.85433594497801,2.595562,3
304,24.723786298020777,19.601372,9
305,-7.698925413360374,0.0,2
306,-13.3,-30.0,1
307,3.7639450031820196,18.840414,7
308,15.763624133927053,23.333334,9
309,41.22200008327438,24.657297,14
310,1.9765444362002889,14.810078,4
311,-12.14939168523165,-30.0,1
312,65.45554211341778,23.040915,18
313,-13.3,-30.0,1
314,37.505848102943915,21.677208,15
315,-22.225848975192875,-30.0,1
316,26.07582331969252,20.247942,9
317,7.072016309365441,17.092487,5
318,117.67527498619194,25.021107,29
319,-2.683743549256153,9.373717,3
320,6.2666384819449465,18.0,5
321,56.19722841229442,25.99126,15
322,11.117945494235869,21.700018,8
323,31.421874574755094,24.218779,12
324,102.93329587769813,24.787863,28
325,-0.25069482961783685,10.360416,4
326,20.991580445042256,20.484762,8
327,3.8821865008558554,10.819254,5
328,2.5143626218860557,13.02579,5
329,-2.50090947865821,10.0,3
330,-9.88844603560598,-6.276444,3
331,-22.265346592652204,-30.0,1
332,-5.879871339164968,11.439173,5
333,-8.600000000000001,0.0,2
334,41.556231458141006,20.364412,14
335,32.70673619340032,21.820776,11
336,-7.557392916199138,0.0,2
337,-22.28083697569863,-30.0,1
338,-17.701196119986086,0.0,2
339,-22.399895190402216,-30.0,1
340,34.602832665009416,22.034834,11
341,-9.475527412186871,10.916088,4
342,25.242988153807833,21.696342,9
343,-13.3,-30.0,1
344,-10.951930141448976,-9.70386,2
345,47.92476951656987,22.078505,14
346,-13.3,-30.0,1
347,21.219859545887687,22.5,8
348,1.921130932500489,15.0,4
349,63.49336838129149,26.004328,17
350,-13.05268061157499,7.38282,3
351,1.879137278722407,13.331453,4
352,12.12417680984625,17.449022,6
353,6.64941526777573,17.499245,5
354,1.574871803689117,11.955101,4
355,16.830544248926728,19.480268,7
356,46.816836132046426,22.73817,13
357,26.705136636649662,20.565847,10
358,50.75415787638375,23.998426,15
359,-22.312590941207926,-30.0,1
360,-17.68224298217428,0.0,2
361,59.24048384854539,25.00098,16
362,-2.9282303403567944,10.0,3
363,5.7440432867452955,16.131947,8
364,4.053561294782924,14.006495,5
365,43.4447992189277,23.317501,13
366,9.972902630884736,16.71432,6
367,15.008124274622762,16.849894,8
368,-22.403106492535063,-30.0,1
369,89.88855842776798,23.912937,23
370,35.199655575572734,23.433092,11
371,-12.917244228276736,8.110858,3
372,6.64765859442857,18.0,5
373,3.635381685074936,13.492498,5
374,1.8943448603150408,15.0,4
375,2.3444561261734655,7.48673,6
376,64.60839806394536,22.194471,18
377,-22.46216709559948,-30.0,1
378,-12.200834897977419,-30.0,1
379,-8.93782416110811,12.051186,4
380,34.400475913484875,22.903917,11
381,-7.410432632034189,0.0,2
382,-4.261315680031824,15.316531,5
383,-17.466538088904745,0.0,2
384,16.977197682471427,18.394976,7
385,-7.385484431176275,-2.5574484,2
386,20.525717819470543,21.985722,8
387,60.346622213656545,21.61669,20
388,-22.353635931636006,-30.0,1
389,-7.572811877887915,0.0,2
390,-18.72818162304564,-2.4240541,2
391,3.4638057847126724,11.830915,5
392,-3.9000000000000004,10.0,3
393,-17.414983668140774,0.0,2
394,-8.002755675062318,15.0,4
395,-22.163957362114097,-30.0,1
396,67.18719724754364,23.52373,18
397,-7.4760763011711875,-6.1814947,2
398,12.1633624491816,19.864836,6
399,6.551162837304922,19.095352,7
400,40.856454856729634,22.296078,13
