Episode,Step,True_Attacker_Range,Detection_Outcome,Detection_Confidence,ISAC_Effort,User_SINR,Current_Epsilon
1,1,45.259075,1,0.79583335,0.7,30.0,0.9999832350968835
1,2,45.569584,1,0.7335117,0.7,17.88691,0.9999664701937669
1,3,45.59289,1,0.74513996,0.7,-9.656862,0.9999497052906504
1,4,45.35685,0,0.0,0.49999999999999994,27.311958,0.9999329403875339
1,5,45.57769,0,0.0,0.49999999999999994,7.3858933,0.9999161754844174
1,6,45.762672,0,0.0,0.3,17.659235,0.9998994105813008
1,7,45.735214,1,0.51610315,0.5,18.224985,0.9998826456781843
1,8,45.872055,1,0.5054967,0.5,22.06602,0.9998658807750678
1,9,45.54092,0,0.0,0.5,26.120495,0.9998491158719512
1,10,45.624905,0,0.0,0.5,8.030168,0.9998323509688347
1,11,45.757397,0,0.0,0.5,-3.3834198,0.9998155860657182
1,12,45.90604,1,0.5208818,0.5,6.534647,0.9997988211626017
1,13,46.222454,0,0.30150345,0.3,-9.326805,0.9997820562594851
1,14,46.118862,0,0.0,0.3,23.27333,0.9997652913563686
1,15,46.295616,0,0.0,0.3,14.796814,0.9997485264532521
1,16,46.487564,0,0.0,0.3,19.569984,0.9997317615501355
1,17,46.30809,0,0.40299293,0.3,-11.670314,0.999714996647019
2,1,40.65378,0,0.0,0.49999999999999994,10.235429,0.9996982317439025
2,2,40.449852,1,0.8653787,0.7,8.206439,0.999681466840786
2,3,40.421875,1,0.76013964,0.7,25.57423,0.9996647019376694
2,4,40.159225,1,0.96046245,0.8999999999999999,25.226906,0.9996479370345529
2,5,39.989677,1,0.729069,0.7,-9.488546,0.9996311721314364
2,6,40.19609,1,0.8625193,0.7,8.281814,0.9996144072283198
2,7,40.070423,1,0.918187,0.7,-22.699581,0.9995976423252033
3,1,39.76221,1,0.84703606,0.7,28.673756,0.9995808774220868
3,2,39.63555,1,0.8970531,0.8999999999999999,-7.73501,0.9995641125189703
3,3,39.783916,1,1.0,0.8999999999999999,30.0,0.9995473476158537
3,4,39.835842,1,0.89554566,0.8999999999999999,29.601736,0.9995305827127372
3,5,40.08749,1,0.92442346,0.8999999999999999,4.3044386,0.9995138178096207
3,6,40.005898,1,0.87679976,0.8999999999999999,30.0,0.9994970529065041
3,7,40.034515,1,1.0,0.8999999999999999,-26.0,0.9994802880033876
4,1,50.648617,0,0.0,0.7,-26.0,0.9994635231002711
5,1,44.954983,1,0.7881006,0.7,-26.0,0.9994467581971546
6,1,40.302834,1,0.9308219,0.8999999999999999,19.172512,0.999429993294038
6,2,40.492302,1,1.0,0.8999999999999999,17.024275,0.9994132283909215
6,3,40.574875,1,1.0,0.8999999999999999,23.465662,0.999396463487805
6,4,40.916508,1,0.98694164,0.8999999999999999,-8.298744,0.9993796985846884
6,5,41.078743,0,0.0,0.7,-3.4704602,0.9993629336815719
6,6,40.899876,0,0.0,0.7,5.264161,0.9993461687784554
6,7,40.905518,1,0.87179613,0.7,-2.187936,0.9993294038753389
