Test_Scenario,Baseline_SINR,DRL_SINR_Avg_Eval,Baseline_Detected_Binary,DRL_Detected_In_Episode_Binary
1,-9.223708,12.658832,1,1
2,21.045725,3.5974557,1,1
3,10.364369,5.446643,1,1
4,30.0,7.023264,1,1
5,25.017374,13.02725,1,1
6,-1.6650214,20.6321,1,1
7,30.0,10.027269,1,1
8,-21.080643,21.593517,0,1
