Episode,Total_Reward,Avg_SINR,Avg_Detection_Rate_Episode,Steps,Epsilon_End_Episode
1,-73.31120415201296,12.048413,35.294117647058826,17,0.999714996647019
2,59.26261446039956,6.47667,85.71428571428571,7,0.9995976423252033
3,165.54128131186008,12.692131,100.0,7,0.9994802880033876
4,-77.35831162488353,-26.0,0.0,1,0.9994635231002711
5,-81.28383421101401,-26.0,100.0,1,0.9994467581971546
6,-7.9158272615135985,4.153785,66.66666666666666,18,0.999144989941057
7,-17.864562232490456,-5.804007,100.0,2,0.999111460134824
8,5.698408716706922,2.0,100.0,2,0.9990779303285909
9,1338.1305219688688,17.552357,93.33333333333333,45,0.9983235096883472
10,7.422904072927281,7.051137,50.0,4,0.998256450075881
11,-18.72409707686603,6.7401767,100.0,2,0.998222920269648
12,82.15750302722026,18.091312,80.0,5,0.9981390957540653
13,436.93410304857537,21.691635,100.0,12,0.997937916916667
14,-119.41458770247716,11.433491,37.5,8,0.9978037976917348
15,-26.721219877572423,-13.224459,100.0,2,0.9977702678855017
16,6.9722300756010895,2.0,100.0,2,0.9977367380792687
17,-52.817450523376465,-15.211634,0.0,1,0.9977199731761521
18,-43.722344803385454,7.797059,50.0,2,0.9976864433699191
19,-28.499624729156494,8.833458,50.0,2,0.997652913563686
20,-43.630513595814094,-5.8349686,100.0,2,0.997619383757453
21,64.40890407562256,21.195992,23.076923076923077,13,0.9974014400169381
22,194.73164810305923,19.88226,90.0,10,0.9972337909857728
23,-63.02212571495629,-16.495056,0.0,1,0.9972170260826563
24,118.69761919819743,19.385742,100.0,4,0.9971499664701902
25,-0.5082313774989728,12.522915,50.0,4,0.997082906857724
26,236.37811295724444,18.230562,100.0,8,0.9969487876327918
27,-18.155289666184245,14.118995,30.76923076923077,13,0.996730843892277
28,-36.55126144351359,-19.957855,100.0,1,0.9967140789891604
29,-34.46470195175715,11.753326,80.0,5,0.9966302544735778
30,-19.140392318633054,-7.106414,100.0,2,0.9965967246673447
31,-49.1928825378418,1.9035587,100.0,2,0.9965631948611117
32,125.94023940244159,14.404591,75.0,8,0.9964290756361794
33,122.76666100523089,18.662136,100.0,5,0.9963452511205968
34,162.70779153391624,12.252333,100.0,7,0.9962278967987811
35,-49.51589409765848,-4.391559,100.0,3,0.9961776020894315
36,84.03661279238577,10.33087,100.0,5,0.9960937775738489
37,-77.55730483210625,-26.0,0.0,1,0.9960770126707323
38,-26.674218142593865,-12.358048,100.0,2,0.9960434828644993
39,86.126169341105,8.085091,100.0,5,0.9959596583489166
40,-43.19949024541464,-26.0,100.0,1,0.9959428934458001
41,-25.31902181769475,-11.124001,100.0,1,0.9959261285426836
42,-61.244902888353415,-16.044346,100.0,1,0.9959093636395671
43,-66.27584342388795,-21.552122,100.0,1,0.9958925987364505
44,-59.887686640475266,1.5807526,80.0,5,0.9958087742208679
45,-55.223458076222336,-14.432318,100.0,1,0.9957920093177514
46,-54.68939208984375,-16.459595,100.0,1,0.9957752444146348
47,611.3082533953753,14.892401,100.0,22,0.9954064165460712
48,-369.4546876658784,6.5724025,0.0,17,0.9951214131930902
49,14.55027942304207,4.3685713,100.0,2,0.9950878833868572
50,-46.892729734399744,8.330574,50.0,4,0.995020823774391
51,-119.65454436721694,7.673316,42.857142857142854,7,0.9949034694525754
52,-125.87282892462616,-1.7394581,0.0,4,0.9948364098401092
53,51.70525432005749,10.643425,100.0,3,0.9947861151307597
54,293.67163373104,20.090336,90.0,10,0.9946184660995944
55,-17.413362813629583,7.1546226,66.66666666666666,3,0.9945681713902448
56,43.677995920181274,19.06273,22.22222222222222,9,0.994417287262196
57,-42.01090938740114,-26.0,100.0,1,0.9944005223590795
58,-41.611583577782994,-25.994648,100.0,1,0.994383757455963
59,-187.13637195304437,2.578793,0.0,7,0.9942664031341473
60,-94.6521066607925,0.63758314,40.0,5,0.9941825786185646
61,21.139386130673273,19.632103,16.666666666666664,12,0.9939813997811663
62,234.4338566825365,10.424211,78.94736842105263,19,0.9936628666219522
63,-81.83615222337998,-26.0,100.0,1,0.9936461017188357
64,19.32118321520487,15.180661,27.27272727272727,11,0.9934616877845539
65,67.30927762483755,14.249645,100.0,3,0.9934113930752043
66,-72.71086777061348,-2.3151684,0.0,2,0.9933778632689713
67,179.4001724284176,14.515798,77.77777777777779,9,0.9932269791409225
68,143.4100757350862,15.294362,100.0,6,0.9931263897222233
69,961.5919766705791,21.537493,80.64516129032258,31,0.992606677725611
70,10.787299848093312,2.123044,100.0,2,0.9925731479193779
71,-28.14715900071058,-14.233618,100.0,1,0.9925563830162614
72,-42.534005002265594,4.455149,90.0,10,0.9923887339850961
73,-124.32836955607272,4.9962287,20.0,5,0.9923049094695134
74,33.46106199817994,13.116031,66.66666666666666,6,0.9922043200508143
75,-91.94740738814501,4.769779,66.66666666666666,6,0.9921037306321151
76,178.13171010758543,17.139862,80.0,15,0.9918522570853672
77,-37.87014393144075,-2.356802,50.0,2,0.9918187272791341
78,-126.33992079763081,-7.4370008,33.33333333333333,3,0.9917684325697845
79,-37.93980740212792,-16.574314,100.0,2,0.9917349027635515
80,278.19088609274826,16.602251,69.23076923076923,13,0.9915169590230366
81,123.59870351071089,17.691166,71.42857142857143,7,0.9913996047012209
82,2.6341889637924822,-0.5770683,100.0,2,0.9913660748949878
83,28.695560141144334,14.692154,75.0,4,0.9912990152825217
84,823.2236099359988,22.760002,91.30434782608695,23,0.9909134225108416
85,-35.31406952225916,-2.8918533,66.66666666666666,3,0.990863127801492
86,229.36026461427042,17.307556,100.0,10,0.9906954787703267
87,135.64707366813371,21.863373,83.33333333333334,6,0.9905948893516275
88,29.80695495044193,13.412695,75.0,4,0.9905278297391614
89,-80.03075090935597,9.094682,50.0,8,0.9903937105142292
90,186.04425382281792,16.333374,100.0,8,0.990259591289297
91,6.348550615569664,2.233889,75.0,4,0.9901925316768309
92,109.77314524942491,18.455137,83.33333333333334,6,0.9900919422581317
93,100.158506781738,10.881673,77.77777777777779,9,0.9899410581300829
94,-39.95668174545351,-25.412323,100.0,1,0.9899242932269664
95,252.62184847478687,12.422358,100.0,10,0.9897566441958011
96,-41.409026376165045,-26.0,100.0,1,0.9897398792926846
97,-82.9366844599678,8.703983,33.33333333333333,6,0.9896392898739854
98,286.7624311889758,13.99086,87.5,16,0.989371051424121
99,101.01051248391141,16.028158,100.0,4,0.9893039918116548
100,115.48704512989775,12.471219,83.33333333333334,6,0.9892034023929557
101,89.61724905134398,11.077066,100.0,5,0.989119577877373
102,61.81348152414132,19.464338,66.66666666666666,6,0.9890189884586739
103,-33.55409762366389,-1.2399483,100.0,2,0.9889854586524408
104,7.74527030240025,2.0,100.0,2,0.9889519288462078
105,-24.581222652937523,18.836512,26.666666666666668,15,0.9887004552994598
106,-80.37807172871366,8.238118,37.5,8,0.9885663360745276
107,-65.40933276436284,1.7387352,0.0,2,0.9885328062682945
108,-69.0,-26.0,0.0,1,0.988516041365178
109,-67.75398549949225,0.2522974,50.0,2,0.988482511558945
110,-46.49183716632561,-4.337973,50.0,2,0.9884489817527119
111,178.13296012697361,14.578939,90.0,10,0.9882813327215466
112,56.59210033696469,10.552273,75.0,8,0.9881472134966144
113,30.75350269939004,7.386116,75.0,4,0.9880801538841483
114,146.05009783504622,15.956141,80.0,10,0.987912504852983
115,240.17347245898222,13.740623,68.75,16,0.9876442664031185
116,-6.19669849117907,8.517022,66.66666666666666,3,0.987593971693769
117,-40.98191366824839,-26.0,100.0,1,0.9875772067906524
118,-69.27891540527344,-8.092972,100.0,2,0.9875436769844194
119,60.093035192384434,10.499292,100.0,5,0.9874598524688367
120,-38.05828517480805,-3.670214,66.66666666666666,3,0.9874095577594871
121,33.78178909187875,13.95602,66.66666666666666,6,0.987308968340788
122,-55.54658876483295,1.1283468,100.0,3,0.9872586736314384
123,-38.536970138549805,5.4876766,50.0,2,0.9872251438252053
124,637.8425180563321,19.045914,59.375,32,0.9866886669254764
125,1.4682374287268232,9.937556,61.53846153846154,13,0.9864707231849615
126,372.8055000848052,14.3621025,89.47368421052632,19,0.9861521900257475
