Episode,Total_Reward,Avg_SINR,Detection_Rate_Steps,Steps
75,5250.0,22.07144,100.0,30
76,875.0,10.608404,100.0,5
77,350.0,-14.01176,100.0,2
78,875.0,21.548027,100.0,5
79,175.0,-25.999998,100.0,1
80,3755.0,23.358877,84.0,25
81,7720.0,16.910784,97.77777777777777,45
82,1225.0,20.081644,100.0,7
83,2275.0,19.814463,100.0,13
84,525.0,12.055046,100.0,3
85,3755.0,17.21185,84.0,25
86,2100.0,17.387978,100.0,12
87,175.0,-19.007769,100.0,1
88,4025.0,22.891613,100.0,23
89,2100.0,20.30433,100.0,12
90,350.0,-1.3987284,100.0,2
91,3425.0,17.444693,79.16666666666666,24
92,545.0,4.530597,75.0,4
93,175.0,-7.4739485,100.0,1
94,700.0,1.7455859,100.0,4
95,935.0,20.561054,62.5,8
96,875.0,18.932743,100.0,5
97,3500.0,17.86146,100.0,20
98,4200.0,16.599068,100.0,24
99,760.0,9.223844,57.14285714285714,7
100,545.0,9.560554,75.0,4
101,175.0,-25.999998,100.0,1
102,7350.0,17.94821,100.0,42
103,1750.0,25.124557,100.0,10
104,1050.0,15.121457,100.0,6
105,6125.0,20.719156,100.0,35
106,1400.0,19.234299,100.0,8
107,1050.0,18.106052,100.0,6
108,525.0,6.816426,100.0,3
109,875.0,18.8,100.0,5
110,195.0,4.6438484,50.0,2
111,3500.0,15.291161,100.0,20
112,895.0,14.0827675,83.33333333333334,6
113,915.0,10.036675,71.42857142857143,7
114,545.0,7.5390344,75.0,4
115,6125.0,18.046682,100.0,35
116,3325.0,19.130053,100.0,19
117,1925.0,21.245142,100.0,11
118,175.0,-20.919233,100.0,1
119,2100.0,23.447912,100.0,12
120,565.0,12.895816,60.0,5
121,1400.0,23.20244,100.0,8
122,350.0,9.42964,100.0,2
123,175.0,-11.859184,100.0,1
124,195.0,2.000001,50.0,2
125,370.0,1.653747,66.66666666666666,3
126,3675.0,21.126583,100.0,21
127,370.0,6.9237294,66.66666666666666,3
128,3325.0,22.355433,100.0,19
129,350.0,-5.713854,100.0,2
130,1050.0,18.917173,100.0,6
131,2275.0,15.578196,100.0,13
132,525.0,11.333333,100.0,3
133,1770.0,10.347648,90.9090909090909,11
134,4415.0,21.572462,92.5925925925926,27
135,700.0,20.238264,100.0,4
136,2275.0,18.055555,100.0,13
137,350.0,9.356779,100.0,2
138,3150.0,23.868387,100.0,18
139,3150.0,11.33792,100.0,18
140,1225.0,21.637085,100.0,7
141,1945.0,22.208937,91.66666666666666,12
142,175.0,-15.478925,100.0,1
143,175.0,-25.999998,100.0,1
144,2005.0,20.569231,73.33333333333333,15
145,1400.0,10.260902,100.0,8
146,3150.0,22.011131,100.0,18
147,1400.0,22.480946,100.0,8
148,935.0,18.444912,62.5,8
149,4785.0,22.56408,90.0,30
150,1750.0,19.255306,100.0,10
151,2705.0,22.027992,78.94736842105263,19
152,1050.0,13.330508,100.0,6
153,1615.0,11.391653,81.81818181818183,11
154,1070.0,22.0,85.71428571428571,7
155,6650.0,23.076544,100.0,38
156,525.0,4.198614,100.0,3
157,3325.0,22.550644,100.0,19
158,4725.0,23.187716,100.0,27
159,1050.0,16.22372,100.0,6
160,6225.0,12.791404,87.5,40
161,2625.0,26.240196,100.0,15
162,2275.0,18.466675,100.0,13
163,350.0,-2.3117237,100.0,2
164,6125.0,14.940883,100.0,35
165,2820.0,19.193756,94.11764705882352,17
166,175.0,-18.194534,100.0,1
167,175.0,-17.659815,100.0,1
168,2975.0,18.739496,100.0,17
169,2450.0,20.290762,100.0,14
170,4980.0,18.221746,87.5,32
171,2355.0,18.855688,76.47058823529412,17
172,1750.0,15.472493,100.0,10
173,1265.0,17.661476,77.77777777777779,9
174,700.0,11.479084,100.0,4
175,4105.0,12.725974,85.18518518518519,27
176,1595.0,17.940165,90.0,10
177,1285.0,17.977139,70.0,10
178,525.0,11.010376,100.0,3
179,875.0,21.787777,100.0,5
180,370.0,5.11315,66.66666666666666,3
181,875.0,4.664426,100.0,5
182,700.0,12.554171,100.0,4
183,175.0,-25.999998,100.0,1
184,4725.0,25.37704,100.0,27
185,175.0,-22.68773,100.0,1
186,1770.0,13.66271,90.9090909090909,11
187,6615.0,21.952473,84.0909090909091,44
188,5250.0,20.440533,100.0,30
189,2450.0,16.731262,100.0,14
190,8285.0,20.692877,94.0,50
191,2275.0,21.985046,100.0,13
192,545.0,4.618401,75.0,4
193,525.0,16.481611,100.0,3
194,6905.0,25.264923,90.69767441860465,43
195,545.0,9.068336,75.0,4
196,370.0,7.3274283,66.66666666666666,3
197,350.0,2.000001,100.0,2
198,20.0,-21.247797,0.0,1
199,1400.0,19.237118,100.0,8
200,2975.0,23.18191,100.0,17
201,2490.0,15.537117,87.5,16
202,875.0,12.8801775,100.0,5
203,700.0,13.960638,100.0,4
204,700.0,16.567749,100.0,4
205,3230.0,23.22597,81.81818181818183,22
206,875.0,15.162196,100.0,5
207,6650.0,22.264603,100.0,38
208,1750.0,20.609665,100.0,10
209,2450.0,15.567424,100.0,14
210,545.0,13.17342,75.0,4
211,1575.0,24.662333,100.0,9
212,2275.0,21.164019,100.0,13
213,1635.0,22.964506,75.0,12
214,350.0,-9.911524,100.0,2
215,525.0,3.1899643,100.0,3
216,2100.0,13.434192,100.0,12
217,5970.0,21.091604,97.14285714285714,35
218,20.0,-25.999998,0.0,1
219,6885.0,19.169537,92.85714285714286,42
220,4320.0,22.709663,80.0,30
221,1050.0,19.665297,100.0,6
222,700.0,9.695339,100.0,4
223,1575.0,16.858206,100.0,9
224,20.0,-25.999998,0.0,1
225,5660.0,18.12767,91.42857142857143,35
226,2160.0,20.108318,80.0,15
227,2975.0,25.195694,100.0,17
228,2625.0,20.58457,100.0,15
229,3270.0,19.593569,75.0,24
230,1050.0,8.722615,100.0,6
231,195.0,6.447262,50.0,2
232,370.0,9.897494,66.66666666666666,3
233,875.0,19.902012,100.0,5
234,4900.0,21.475555,100.0,28
235,8285.0,20.331924,94.0,50
236,525.0,17.889166,100.0,3
237,3850.0,14.511416,100.0,22
238,2275.0,9.373879,100.0,13
239,175.0,-25.999998,100.0,1
240,545.0,11.21596,75.0,4
241,1750.0,14.45508,100.0,10
242,7605.0,25.962156,91.48936170212765,47
243,350.0,3.199977,100.0,2
244,3675.0,23.520496,100.0,21
245,175.0,-25.999998,100.0,1
246,6650.0,25.449492,100.0,38
247,1575.0,24.479242,100.0,9
248,370.0,-3.4319007,66.66666666666666,3
249,4590.0,22.146072,92.85714285714286,28
250,1245.0,9.198175,87.5,8
251,4200.0,18.875868,100.0,24
252,1305.0,11.882901,63.63636363636363,11
253,4395.0,20.746944,96.15384615384616,26
254,525.0,7.1466737,100.0,3
255,195.0,2.000001,50.0,2
256,1750.0,22.623081,100.0,10
257,175.0,-25.999998,100.0,1
258,1400.0,22.409546,100.0,8
259,195.0,5.5152826,50.0,2
260,1245.0,15.880157,87.5,8
261,1615.0,16.824053,81.81818181818183,11
262,1595.0,21.09593,90.0,10
263,4045.0,16.28441,95.83333333333334,24
264,1945.0,26.119797,91.66666666666666,12
265,1225.0,21.949215,100.0,7
266,1225.0,13.627885,100.0,7
267,585.0,17.873901,50.0,6
268,1225.0,19.542633,100.0,7
269,175.0,-25.999998,100.0,1
270,1225.0,20.334864,100.0,7
271,1070.0,23.686676,85.71428571428571,7
272,370.0,6.0917926,66.66666666666666,3
273,350.0,-12.204091,100.0,2
274,175.0,-25.999998,100.0,1
275,875.0,15.57461,100.0,5
276,2100.0,17.790802,100.0,12
277,1285.0,22.2188,70.0,10
278,1050.0,23.014221,100.0,6
279,350.0,7.066265,100.0,2
280,2975.0,24.077686,100.0,17
281,1050.0,18.263334,100.0,6
282,1225.0,18.062927,100.0,7
283,4900.0,16.576199,100.0,28
284,2120.0,16.573534,92.3076923076923,13
285,1245.0,12.724792,87.5,8
286,5155.0,18.578611,87.87878787878788,33
287,525.0,17.291426,100.0,3
288,175.0,-25.999998,100.0,1
289,1770.0,15.941611,90.9090909090909,11
290,2450.0,19.843006,100.0,14
291,4900.0,21.39233,100.0,28
292,4260.0,20.4306,88.88888888888889,27
293,3850.0,24.085382,100.0,22
294,525.0,11.333333,100.0,3
295,350.0,0.4043374,100.0,2
296,1305.0,12.57566,63.63636363636363,11
297,1225.0,14.453868,100.0,7
298,1225.0,11.4288645,100.0,7
299,5425.0,25.367136,100.0,31
300,525.0,8.593065,100.0,3
301,1420.0,13.898276,88.88888888888889,9
302,6125.0,24.35181,100.0,35
303,350.0,1.589982,100.0,2
304,1400.0,20.340954,100.0,8
305,875.0,19.076004,100.0,5
306,2625.0,17.367031,100.0,15
307,875.0,-2.229404,100.0,5
308,6890.0,22.233511,76.0,50
309,4725.0,21.498495,100.0,27
310,1925.0,21.45388,100.0,11
311,1575.0,12.824032,100.0,9
312,915.0,10.766977,71.42857142857143,7
313,525.0,1.8510532,100.0,3
314,1400.0,21.179695,100.0,8
315,370.0,10.807195,66.66666666666666,3
316,4025.0,18.040577,100.0,23
317,3890.0,21.47776,91.66666666666666,24
318,2315.0,13.240619,86.66666666666667,15
319,1375.0,16.293674,100.0,8
320,1225.0,16.107021,100.0,7
321,1400.0,14.160677,100.0,8
322,525.0,7.86995,100.0,3
323,1245.0,22.343428,87.5,8
324,6145.0,20.626236,97.22222222222221,36
325,3325.0,17.809423,100.0,19
326,2100.0,17.874403,100.0,12
327,4025.0,22.083681,100.0,23
328,2800.0,24.717314,100.0,16
329,5605.0,9.867608,77.5,40
330,175.0,-23.864124,100.0,1
331,2160.0,15.979,80.0,15
332,7720.0,23.140547,97.77777777777777,45
333,175.0,-25.999998,100.0,1
334,1400.0,12.002408,100.0,8
335,1595.0,12.564064,90.0,10
336,370.0,13.093432,66.66666666666666,3
337,2625.0,16.619755,100.0,15
338,2100.0,23.62513,100.0,12
339,350.0,2.000001,100.0,2
340,175.0,-25.999998,100.0,1
341,1225.0,21.683462,100.0,7
342,1945.0,8.428523,91.66666666666666,12
343,1400.0,14.088893,100.0,8
344,2975.0,21.978731,100.0,17
345,3520.0,21.354263,95.23809523809523,21
346,2800.0,24.060184,100.0,16
347,4550.0,17.092646,100.0,26
348,5075.0,20.603107,100.0,29
349,175.0,-25.999998,100.0,1
350,4200.0,15.971127,100.0,24
351,1400.0,17.701185,100.0,8
352,2725.0,25.966055,75.0,20
353,1245.0,11.026715,87.5,8
354,6475.0,23.718601,100.0,37
355,2100.0,10.114384,100.0,12
356,1225.0,20.319498,100.0,7
357,175.0,-7.295039,100.0,1
358,525.0,-4.8427434,100.0,3
359,6300.0,23.944233,100.0,36
360,3500.0,17.694107,100.0,20
361,2120.0,17.794146,92.3076923076923,13
362,350.0,-2.3538876,100.0,2
363,4765.0,21.458765,93.10344827586206,29
364,370.0,4.280508,66.66666666666666,3
365,700.0,0.76019144,100.0,4
366,875.0,16.6813,100.0,5
367,350.0,2.000001,100.0,2
368,1050.0,15.914844,100.0,6
369,4375.0,19.415947,100.0,25
370,1925.0,11.184479,100.0,11
371,4240.0,18.738354,92.3076923076923,26
372,7545.0,15.595774,97.72727272727273,44
373,1925.0,23.71303,100.0,11
374,2450.0,24.773746,100.0,14
375,1110.0,19.135672,66.66666666666666,9
376,1400.0,21.088936,100.0,8
377,875.0,12.012029,100.0,5
378,1050.0,19.422892,100.0,6
379,350.0,2.000001,100.0,2
380,1770.0,15.836172,90.9090909090909,11
381,1750.0,25.457493,100.0,10
382,175.0,-21.385862,100.0,1
383,350.0,-3.5677748,100.0,2
384,1575.0,23.040592,100.0,9
385,20.0,-25.999998,0.0,1
386,350.0,0.6092138,100.0,2
387,1575.0,21.829266,100.0,9
388,6265.0,22.21514,83.33333333333334,42
389,3520.0,21.625967,95.23809523809523,21
390,525.0,13.996478,100.0,3
391,1595.0,17.372587,90.0,10
392,1440.0,11.604879,80.0,10
393,350.0,-6.5603547,100.0,2
394,700.0,16.966183,100.0,4
395,2275.0,25.442091,100.0,13
396,2975.0,19.673288,100.0,17
397,700.0,17.310427,100.0,4
398,7975.0,21.416157,90.0,50
399,1945.0,23.624115,91.66666666666666,12
400,175.0,-25.999998,100.0,1
401,3675.0,23.393707,100.0,21
402,1400.0,23.915594,100.0,8
403,370.0,8.307367,66.66666666666666,3
404,875.0,15.107486,100.0,5
405,3850.0,22.760672,100.0,22
406,1965.0,26.08984,84.61538461538461,13
407,1965.0,24.974125,84.61538461538461,13
408,895.0,14.994431,83.33333333333334,6
409,1420.0,19.831182,88.88888888888889,9
410,4200.0,18.9208,100.0,24
411,700.0,3.2868886,100.0,4
412,1225.0,16.14625,100.0,7
413,2275.0,22.921322,100.0,13
414,1615.0,13.383542,81.81818181818183,11
415,875.0,11.1407795,100.0,5
416,895.0,18.599869,83.33333333333334,6
417,5425.0,22.281773,100.0,31
418,700.0,9.013779,100.0,4
419,3190.0,20.613525,90.0,20
420,5075.0,19.997984,100.0,29
421,1575.0,22.110537,100.0,9
422,1225.0,12.84852,100.0,7
423,2100.0,20.818047,100.0,12
424,700.0,9.915909,100.0,4
425,525.0,-4.8176765,100.0,3
426,1225.0,10.003139,100.0,7
427,895.0,16.138205,83.33333333333334,6
428,175.0,-24.109215,100.0,1
429,2550.0,18.266928,73.68421052631578,19
430,875.0,14.414309,100.0,5
431,2625.0,19.618603,100.0,15
432,175.0,-20.44551,100.0,1
433,6320.0,23.98734,97.2972972972973,37
434,2470.0,26.90052,93.33333333333333,15
435,1420.0,15.431865,88.88888888888889,9
436,1595.0,23.217815,90.0,10
437,895.0,14.241439,83.33333333333334,6
438,1090.0,15.0084095,75.0,8
439,2625.0,23.289423,100.0,15
440,370.0,16.67702,66.66666666666666,3
441,700.0,9.655519,100.0,4
442,350.0,11.597108,100.0,2
443,720.0,14.812063,80.0,5
444,2975.0,12.71546,100.0,17
445,4025.0,19.751787,100.0,23
446,195.0,-1.0113506,50.0,2
447,350.0,2.000001,100.0,2
448,1750.0,19.574255,100.0,10
449,3850.0,21.799257,100.0,22
450,3365.0,16.769876,90.47619047619048,21
451,525.0,17.96192,100.0,3
452,1575.0,13.553303,100.0,9
453,1750.0,20.920216,100.0,10
454,3325.0,16.808283,100.0,19
455,350.0,-9.386878,100.0,2
456,525.0,11.333333,100.0,3
457,350.0,6.132869,100.0,2
458,1575.0,18.40905,100.0,9
459,4260.0,26.16324,88.88888888888889,27
460,700.0,19.619856,100.0,4
461,80.0,-5.530477,0.0,4
462,7510.0,23.148115,84.0,50
463,2275.0,23.466694,100.0,13
464,2625.0,21.256016,100.0,15
465,1245.0,20.586937,87.5,8
466,2490.0,17.286386,87.5,16
467,2470.0,22.2428,93.33333333333333,15
468,350.0,-6.457409,100.0,2
469,700.0,13.039566,100.0,4
470,350.0,2.1867952,100.0,2
471,3500.0,12.675404,100.0,20
472,2315.0,15.4392,86.66666666666667,15
473,175.0,-12.258417,100.0,1
474,3150.0,18.208452,100.0,18
475,2820.0,15.161127,94.11764705882352,17
476,1225.0,15.090057,100.0,7
477,1225.0,22.57294,100.0,7
478,350.0,2.000001,100.0,2
479,2800.0,15.181052,100.0,16
480,1655.0,21.942188,69.23076923076923,13
481,2100.0,17.79937,100.0,12
482,20.0,-24.236938,0.0,1
483,2490.0,16.658611,87.5,16
484,3365.0,20.768871,90.47619047619048,21
485,1420.0,18.213978,88.88888888888889,9
486,1595.0,14.258603,90.0,10
487,1400.0,23.17218,100.0,8
488,175.0,-12.64972,100.0,1
489,1050.0,17.01819,100.0,6
490,1925.0,20.854408,100.0,11
491,525.0,4.65218,100.0,3
492,3405.0,15.174948,82.6086956521739,23
493,1750.0,22.63646,100.0,10
494,1050.0,18.434593,100.0,6
495,1750.0,13.392031,100.0,10
496,2840.0,24.335909,88.88888888888889,18
497,1050.0,15.001264,100.0,6
498,2490.0,13.646692,87.5,16
499,2355.0,14.867393,76.47058823529412,17
500,2975.0,21.033642,100.0,17
501,4900.0,18.795996,100.0,28
502,4025.0,22.969063,100.0,23
503,2275.0,24.434477,100.0,13
504,350.0,10.861948,100.0,2
505,4865.0,19.359999,79.41176470588235,34
506,195.0,8.450754,50.0,2
507,1225.0,18.216997,100.0,7
508,1575.0,23.655693,100.0,9
509,1400.0,21.461502,100.0,8
510,1400.0,14.351809,100.0,8
511,350.0,4.0810575,100.0,2
512,915.0,18.546759,71.42857142857143,7
513,5950.0,13.743321,100.0,34
514,350.0,1.0328388,100.0,2
515,8595.0,23.260221,98.0,50
516,4570.0,22.56793,96.29629629629629,27
517,4900.0,14.858309,100.0,28
518,350.0,2.000001,100.0,2
519,875.0,21.038467,100.0,5
520,700.0,16.103752,100.0,4
521,4725.0,16.44005,100.0,27
522,350.0,5.1111617,100.0,2
523,2840.0,19.642902,88.88888888888889,18
524,350.0,-0.9899883,100.0,2
525,350.0,2.000001,100.0,2
526,1225.0,11.03876,100.0,7
527,3910.0,24.990828,88.0,25
528,895.0,10.6777115,83.33333333333334,6
529,545.0,14.114838,75.0,4
530,175.0,-25.999998,100.0,1
531,700.0,12.1353855,100.0,4
532,525.0,3.3513496,100.0,3
533,350.0,0.41281056,100.0,2
534,1400.0,13.412643,100.0,8
535,525.0,4.4356036,100.0,3
536,1090.0,14.546791,75.0,8
537,1750.0,21.448833,100.0,10
538,8090.0,22.511366,95.83333333333334,48
539,2995.0,10.640178,94.44444444444444,18
540,700.0,16.572481,100.0,4
541,1575.0,22.45086,100.0,9
542,5875.0,18.454704,86.8421052631579,38
543,1400.0,13.717126,100.0,8
544,720.0,9.46784,80.0,5
545,1770.0,19.506376,90.9090909090909,11
546,7045.0,20.858444,78.0,50
547,1440.0,24.330471,80.0,10
548,1595.0,16.850307,90.0,10
549,4025.0,23.09635,100.0,23
550,2995.0,14.832267,94.44444444444444,18
551,8070.0,21.951235,97.87234042553192,47
552,2940.0,24.434015,69.56521739130434,23
553,3035.0,15.445078,85.0,20
554,2450.0,20.839874,100.0,14
555,1750.0,16.846155,100.0,10
556,1575.0,11.344755,100.0,9
557,5445.0,17.07133,96.875,32
558,350.0,-0.53574944,100.0,2
559,3600.0,20.759916,80.0,25
560,3500.0,19.360592,100.0,20
561,700.0,1.3582644,100.0,4
562,875.0,9.805809,100.0,5
563,350.0,-5.049437,100.0,2
564,875.0,19.08252,100.0,5
565,1770.0,15.674381,90.9090909090909,11
566,1575.0,23.642122,100.0,9
567,1070.0,12.020852,85.71428571428571,7
568,2820.0,19.42784,94.11764705882352,17
569,5445.0,24.02575,96.875,32
570,875.0,9.368336,100.0,5
571,2355.0,24.18974,76.47058823529412,17
572,1050.0,17.310709,100.0,6
573,7470.0,20.299757,87.5,48
574,1460.0,14.63407,72.72727272727273,11
575,1400.0,19.016956,100.0,8
576,2470.0,17.486515,93.33333333333333,15
577,5855.0,22.830061,89.1891891891892,37
578,2820.0,18.736792,94.11764705882352,17
579,2450.0,17.9825,100.0,14
580,525.0,-3.6826315,100.0,3
581,370.0,2.261013,66.66666666666666,3
582,3950.0,18.592224,81.48148148148148,27
583,1400.0,12.229317,100.0,8
584,175.0,-25.999998,100.0,1
585,1050.0,16.580698,100.0,6
586,4765.0,19.081388,93.10344827586206,29
587,175.0,-23.37882,100.0,1
588,2295.0,21.889462,92.85714285714286,14
589,7315.0,26.302818,85.41666666666666,48
590,175.0,-25.999998,100.0,1
591,2800.0,23.996445,100.0,16
592,2100.0,21.247213,100.0,12
593,700.0,-2.1628747,100.0,4
594,1595.0,18.875553,90.0,10
595,1615.0,19.399687,81.81818181818183,11
596,390.0,9.002468,50.0,4
597,350.0,11.929058,100.0,2
598,3150.0,15.567442,100.0,18
599,7215.0,24.786522,95.34883720930233,43
600,350.0,1.666811,100.0,2
601,2470.0,12.653779,93.33333333333333,15
602,4025.0,12.759398,100.0,23
603,1070.0,11.686952,85.71428571428571,7
604,2450.0,22.0642,100.0,14
605,5370.0,15.24459,83.33333333333334,36
606,1925.0,13.771662,100.0,11
607,1245.0,10.526364,87.5,8
608,175.0,-25.999998,100.0,1
609,1575.0,22.42598,100.0,9
610,20.0,-25.999998,0.0,1
611,545.0,16.136683,75.0,4
612,350.0,5.372859,100.0,2
613,2100.0,19.632061,100.0,12
614,1925.0,16.88866,100.0,11
615,1750.0,20.604969,100.0,10
616,4670.0,23.702518,81.25,32
617,525.0,17.753515,100.0,3
618,2100.0,21.36059,100.0,12
619,2100.0,15.911236,100.0,12
620,525.0,-10.9822645,100.0,3
621,525.0,4.95899,100.0,3
622,175.0,-18.955328,100.0,1
623,175.0,-6.559831,100.0,1
624,1925.0,20.525259,100.0,11
625,1400.0,20.480928,100.0,8
626,5075.0,14.884777,100.0,29
627,4940.0,20.348795,93.33333333333333,30
628,1925.0,15.436396,100.0,11
629,895.0,14.500851,83.33333333333334,6
630,1790.0,19.14889,83.33333333333334,12
631,2880.0,15.353,80.0,20
632,2800.0,18.834877,100.0,16
633,525.0,8.375676,100.0,3
634,1400.0,17.962666,100.0,8
635,175.0,-7.9690156,100.0,1
636,2645.0,23.872902,93.75,16
637,1400.0,18.852562,100.0,8
638,1225.0,14.847922,100.0,7
639,175.0,-25.999998,100.0,1
640,350.0,2.000001,100.0,2
641,875.0,11.227498,100.0,5
642,4745.0,26.678955,96.42857142857143,28
643,3500.0,20.315842,100.0,20
644,1050.0,23.800928,100.0,6
645,1750.0,13.61559,100.0,10
646,175.0,-25.999998,100.0,1
647,3325.0,16.196135,100.0,19
648,1400.0,9.992701,100.0,8
649,2450.0,22.514109,100.0,14
650,2140.0,17.37625,85.71428571428571,14
651,1925.0,17.115273,100.0,11
652,3055.0,18.540524,80.95238095238095,21
653,1750.0,26.253006,100.0,10
654,2100.0,16.35113,100.0,12
655,175.0,-6.1446342,100.0,1
656,1575.0,23.608,100.0,9
657,1750.0,20.071638,100.0,10
658,175.0,-25.999998,100.0,1
659,2975.0,16.33942,100.0,17
660,2470.0,22.62089,93.33333333333333,15
661,565.0,18.239996,60.0,5
662,3385.0,20.077002,86.36363636363636,22
663,1440.0,14.1183195,80.0,10
664,720.0,15.219037,80.0,5
665,700.0,16.029472,100.0,4
666,2510.0,19.150839,82.35294117647058,17
667,525.0,17.12016,100.0,3
668,875.0,18.8,100.0,5
669,4550.0,19.750885,100.0,26
670,1050.0,14.535534,100.0,6
671,700.0,3.8254523,100.0,4
672,8575.0,23.217463,100.0,49
673,6480.0,17.148407,80.0,45
674,1925.0,11.98171,100.0,11
675,4240.0,16.24847,92.3076923076923,26
676,2275.0,19.765709,100.0,13
677,700.0,12.997839,100.0,4
678,2995.0,12.38189,94.44444444444444,18
679,1575.0,14.083303,100.0,9
680,1925.0,12.045104,100.0,11
681,6300.0,18.965471,100.0,36
682,4900.0,25.979506,100.0,28
683,175.0,-7.422673,100.0,1
684,175.0,-7.2738504,100.0,1
685,3270.0,19.349758,75.0,24
686,525.0,3.6970844,100.0,3
687,1050.0,14.416207,100.0,6
688,1400.0,14.237295,100.0,8
689,6300.0,24.990852,100.0,36
690,895.0,13.9920435,83.33333333333334,6
691,1830.0,15.850055,71.42857142857143,14
692,1575.0,19.203394,100.0,9
693,875.0,3.4850247,100.0,5
694,1265.0,22.38845,77.77777777777779,9
695,2120.0,11.234292,92.3076923076923,13
696,1070.0,22.0,85.71428571428571,7
697,1925.0,20.01242,100.0,11
698,3190.0,19.784645,90.0,20
699,6125.0,11.89228,100.0,35
700,565.0,5.31694,60.0,5
701,875.0,14.37334,100.0,5
702,3325.0,19.726017,100.0,19
703,875.0,19.830688,100.0,5
704,700.0,2.3104262,100.0,4
705,2490.0,22.085693,87.5,16
706,2100.0,22.499636,100.0,12
707,1400.0,18.588459,100.0,8
708,1050.0,17.021948,100.0,6
709,1575.0,14.933123,100.0,9
710,525.0,-12.336452,100.0,3
711,1615.0,22.398254,81.81818181818183,11
712,3695.0,22.518898,95.45454545454545,22
713,3910.0,14.0854845,88.0,25
714,875.0,2.2093768,100.0,5
715,1245.0,21.283092,87.5,8
716,1050.0,19.489695,100.0,6
717,1400.0,18.235737,100.0,8
718,20.0,-21.478577,0.0,1
719,700.0,15.530976,100.0,4
720,1575.0,15.427819,100.0,9
721,370.0,7.611059,66.66666666666666,3
722,175.0,-25.999998,100.0,1
723,720.0,15.157236,80.0,5
724,350.0,5.1625857,100.0,2
725,700.0,8.055811,100.0,4
726,4375.0,19.582811,100.0,25
727,1245.0,12.200075,87.5,8
728,720.0,18.8,80.0,5
729,1770.0,21.504555,90.9090909090909,11
730,1770.0,18.56135,90.9090909090909,11
731,1945.0,20.726385,91.66666666666666,12
732,8090.0,17.63754,95.83333333333334,48
733,8750.0,26.060425,100.0,50
734,2450.0,16.744646,100.0,14
735,2450.0,18.791256,100.0,14
736,1770.0,19.257174,90.9090909090909,11
737,1050.0,12.1589,100.0,6
738,915.0,17.459766,71.42857142857143,7
739,1245.0,15.618775,87.5,8
740,895.0,20.280523,83.33333333333334,6
741,1420.0,14.98179,88.88888888888889,9
742,1575.0,15.492881,100.0,9
743,1965.0,25.22053,84.61538461538461,13
